fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,fst_sel_index1,fst_sel_index2,fst_sel_index3,fst_sel_index4,fst_sel_index5,fst_sel_index6,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_sel_index5,lst_sel_index6,fst_typen1,fst_typen2,fst_typen3,fst_typen4,fst_typen5,fst_typen6,lst_typen1,lst_typen2,lst_typen3,lst_typen4,lst_typen5,lst_typen6,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,graduated,grad2,grad4,i_cdr2,i_cdr3,i_cdr5,alt_cdr2,alt_cdr3,alt_cdr5,alt_cdr2_f,alt_cdr2_dnf,rr2,rr5,neg_am2,neg_am5,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,age_entry,cpi_adj
2006,1,,,1924,1774,150,258,11,0.244,0.126,0.148,0.214,0.198,0.071,0.249,0.112,0.128,0.172,0.134,0.204,0.144,0.106,0.12,0.38,0.006,0.245,0.135,0.134,0.107,0.365,0.005,0.254,39417,23888,15530,161,20490,12905,13465,10455,38105,28175,14875,8490,24690,18730,48550,47210,28400,78215,3.724,2,0.658,0.18,0.51,0.072,0.127,0.184,0.097,0.144,0.191,0.048,0.191,0.957,0.795,0.386,0.289,53145,0.605,0.57,0.408,60240,0.118,0.092,0.036,39555,20015,59010,40260,44080,21,0.876992
2007,1,,,1745,1632,113,206,9,0.271,0.138,0.153,0.207,0.174,0.057,0.277,0.125,0.133,0.167,0.122,0.176,0.157,0.12,0.133,0.361,0.006,0.224,0.146,0.153,0.12,0.344,0.005,0.232,34494,22303,12191,130,19765,11945,13665,10055,38195,28175,14450,8375,24110,19165,48540,46045,30080,78575,3.692,2,0.645,0.197,0.485,0.087,0.154,0.227,0.118,0.176,0.236,0.06,0.224,0.966,0.802,0.416,0.32,51425,0.603,0.577,0.424,59378,0.124,0.095,0.037,37450,19295,56530,37760,45025,21,0.906824
2008,1,,,1853,1720,133,218,10,0.276,0.137,0.146,0.207,0.175,0.058,0.286,0.122,0.127,0.164,0.118,0.184,0.154,0.127,0.131,0.358,0.007,0.223,0.144,0.164,0.116,0.339,0.006,0.231,38405,23686,14719,169,20725,12290,13770,10285,41965,30845,17240,10040,24485,18950,54280,48475,30270,91445,3.807,2,0.657,0.201,0.495,0.095,0.173,0.26,0.131,0.2,0.272,0.069,0.25,0.965,0.779,0.435,0.35,51955,0.61,0.584,0.416,59716,0.124,0.094,0.037,37505,18385,57005,37930,44675,21,0.910217
2009,1,,,2227,2058,169,266,13,0.278,0.143,0.145,0.205,0.172,0.059,0.287,0.128,0.122,0.158,0.114,0.19,0.149,0.135,0.137,0.353,0.006,0.22,0.138,0.175,0.122,0.33,0.006,0.23,49151,29067,20084,193,22065,12625,14120,10410,46165,32755,15145,8155,25150,18965,58520,50940,30470,105855,3.891,2,0.677,0.209,0.511,0.104,0.183,0.27,0.15,0.208,0.281,0.087,0.282,0.983,0.813,0.469,0.385,52610,0.613,0.586,0.416,59778,0.124,0.095,0.037,37535,17735,57545,37900,45790,21,0.929017
2010,1,,,2387,2223,165,281,16,0.309,0.139,0.14,0.193,0.166,0.053,0.324,0.121,0.116,0.147,0.112,0.18,0.163,0.152,0.132,0.338,0.006,0.209,0.153,0.198,0.116,0.313,0.005,0.215,58137,34867,23270,270,24350,13970,15685,11760,52215,35970,17305,10140,27630,20965,65755,54980,33820,125060,4.007,2,0.662,0.213,0.496,0.107,0.184,,0.152,0.212,,0.076,0.3,1.022,,0.533,,51415,0.601,0.587,0.423,59548,0.13,0.096,0.037,35370,16360,56615,35425,46675,21,0.941916
2011,1,,,2953,2767,187,329,21,0.315,0.16,0.138,0.188,0.151,0.048,0.33,0.146,0.114,0.141,0.099,0.169,0.165,0.155,0.154,0.328,0.006,0.192,0.154,0.203,0.141,0.3,0.006,0.197,75473,47189,28284,353,25555,14740,17055,12595,54810,36925,17115,9915,29295,23070,68520,57610,36825,133570,4.163,2,0.678,0.233,0.493,0.122,0.185,,0.159,0.209,,0.096,0.292,1.039,,0.558,,50365,0.593,0.588,0.43,59350,0.132,0.096,0.037,33475,15640,55015,33385,47295,21,0.965479
2012,1,,,3323,3124,199,373,26,0.292,0.176,0.144,0.193,0.149,0.046,0.303,0.166,0.121,0.146,0.098,0.166,0.152,0.145,0.17,0.337,0.006,0.19,0.138,0.191,0.16,0.31,0.005,0.194,91720,58252,33468,529,27605,16550,18650,13975,58535,39230,20325,11165,32335,25770,73315,61440,40515,138375,4.351,2,0.699,0.243,0.509,0.104,,,0.137,,,0.094,0.238,1.047,,0.575,,49715,0.598,0.594,0.429,59199,0.137,0.097,0.037,32610,15020,53505,32415,47045,21,0.980216
2013,1,,,3499,3299,200,394,27,0.272,0.187,0.15,0.198,0.148,0.043,0.279,0.177,0.127,0.154,0.099,0.164,0.138,0.138,0.181,0.347,0.006,0.189,0.121,0.184,0.172,0.32,0.005,0.197,103853,67084,36769,593,29680,18190,20335,15375,61875,41005,22185,12365,35395,28660,79520,64675,45085,144695,4.523,2,0.656,0.218,0.49,,,,,,,,,,,,,49420,0.613,0.604,0.423,59081,0.139,0.097,0.037,32075,14485,51795,31825,45525,21,0.992323
2014,1,,,3719,3522,197,425,29,0.253,0.198,0.156,0.203,0.15,0.04,0.255,0.184,0.132,0.162,0.105,0.162,0.123,0.134,0.192,0.354,0.006,0.191,0.104,0.18,0.179,0.33,0.005,0.202,117003,76596,40407,636,31465,19645,21750,16720,65010,42765,22050,12300,37695,30640,81975,66550,48240,154045,4.717,3,0.614,0.192,0.474,,,,,,,,,,,,,49620,0.629,0.612,0.415,59100,0.145,0.098,0.037,31890,14025,50535,31720,45450,21,1
1970,,1,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1065,860,1050,860,1295,1295,,,1290,1265,1295,1315,1315,1295,0,0,,,,0,0.067,0.067,0.067,0.067,0.067,,,0.84,0.553,0,0,,,,,,,,,,,,,,,0.209694
1971,,1,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,1150,865,1070,865,2320,830,,,1285,1165,5860,2310,2300,5860,1.55,0,,,,0.2,0.2,0.267,0.2,0.2,0.3,,,0.846,0.56,0.017,0.034,,,,,,,,,,,,,,,0.217343
1972,,1,,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,0,1055,870,1050,870,935,870,,,1295,1295,1280,1770,1770,1280,0.635,0,,,,0.142,0.209,0.277,0.196,0.236,0.277,,,0.843,0.538,0.041,0.055,,,,,,,,,,,,,,,0.224633
1973,,1,,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,0,1210,1065,1205,1065,1415,1275,,,1320,1315,1665,2120,2095,2045,0.951,0,,,,0.19,0.239,0.287,0.219,0.259,0.287,,,0.843,0.55,0.02,0.033,,,,,,,,,,,,,,,0.24199
1974,,1,,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,0,1365,1280,1350,1280,1355,875,,,1595,1500,1325,2545,2545,2590,2.314,0,,,,0.243,0.28,0.311,0.267,0.291,0.311,,,0.842,0.556,0.034,0.044,,,,,,,,,,,,,,,0.269745
1975,,1,,8,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11,11,0,0,1430,1295,1425,1295,1400,1250,,,1560,1535,2165,2560,2560,2210,1.868,0,,,,0.204,0.248,0.279,0.238,0.263,0.282,,,0.844,0.555,0.038,0.057,,,,,,,,,,,,,,,0.287627
1976,,1,,11,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16,16,0,0,1485,1290,1475,1290,2365,1050,,,1695,1695,4935,2560,2560,6870,2.089,0,,,,0.227,0.312,0.358,0.266,0.335,0.362,,,0.845,0.566,0.122,0.142,,,,,,,,,,,,,,,0.302189
1977,,1,,14,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21,20,1,0,1550,1310,1525,1310,1895,1490,,,1730,1725,2175,2560,2560,4395,1.682,0,,,,0.22,0.322,0.362,0.285,0.346,0.366,,,0.843,0.556,0.172,0.183,,,,,,,,,,,,,,,0.322139
1978,,1,,18,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,30,29,1,0,1630,1315,1600,1315,1990,1525,,,1760,1750,2130,2640,2585,3705,2.068,0,,,,0.218,0.295,0.323,0.276,0.306,0.323,,,0.844,0.556,0.165,0.175,,,,,,,,,,,,,,,0.346492
