fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,fst_sel_index1,fst_sel_index2,fst_sel_index3,fst_sel_index4,fst_sel_index5,fst_sel_index6,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_sel_index5,lst_sel_index6,fst_typen1,fst_typen2,fst_typen3,fst_typen4,fst_typen5,fst_typen6,lst_typen1,lst_typen2,lst_typen3,lst_typen4,lst_typen5,lst_typen6,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,graduated,grad2,grad4,i_cdr2,i_cdr3,i_cdr5,alt_cdr2,alt_cdr3,alt_cdr5,alt_cdr2_f,alt_cdr2_dnf,rr2,rr5,neg_am2,neg_am5,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,age_entry,cpi_adj
1999,,1,,223,222,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1811,1696,115,5,8125,5575,7645,5525,29350,18970,6530,4600,9720,9525,40070,16790,16065,68330,2.061,0,0.685,0.488,0.23,0.095,0.18,0.278,0.127,0.211,0.288,0.078,0.238,0.949,0.685,0.43,0.345,29500,0.364,0.571,0.558,55413,0.162,0.119,0.042,20745,15670,34700,20755,48900,24,0.753413
2000,,1,,237,236,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1956,1857,100,5,8255,5810,7860,5765,25410,17295,6725,4955,9865,9710,32035,17210,16525,52465,2.082,0,0.661,0.463,0.229,0.101,0.188,0.281,0.137,0.218,0.297,0.094,0.234,0.954,0.687,0.43,0.332,31815,0.368,0.55,0.544,56009,0.157,0.115,0.042,21905,16045,37560,21900,37435,24,0.77168
2001,,1,,241,240,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2119,2008,111,7,8780,6050,8350,6005,25615,19435,6770,5210,10630,10475,35590,18315,17845,53970,2.175,0,0.659,0.471,0.222,0.101,0.185,0.284,0.136,0.214,0.299,0.092,0.238,0.946,0.703,0.423,0.333,32125,0.389,0.524,0.559,57701,0.15,0.11,0.041,22380,17340,34825,22350,37325,24,0.779909
2002,,1,,261,260,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,2364,2202,162,8,9050,6000,8455,5960,28560,19600,7640,5740,10795,10575,37510,19385,18645,57590,2.116,0,0.643,0.453,0.223,0.096,0.172,0.289,0.126,0.208,0.306,0.074,0.23,0.958,0.749,0.439,0.348,33430,0.383,0.522,0.563,57241,0.143,0.109,0.041,23350,17920,36495,23340,27520,24,0.796383
2003,,1,,296,295,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,2748,2569,179,12,9275,6125,8700,6080,28660,18430,10880,5715,11425,11095,37325,19840,19220,60040,2.294,0,0.644,0.448,0.228,0.089,0.187,0.306,0.127,0.225,0.326,0.076,0.219,0.967,0.774,0.445,0.354,36135,0.385,0.537,0.579,57741,0.149,0.107,0.04,24650,18420,39895,24645,35665,23,0.811654
2004,,1,,347,346,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,3251,3055,195,18,9365,6130,8825,6110,26760,20620,10690,6835,11160,10920,34900,20560,19950,54900,2.421,0,0.638,0.45,0.222,0.102,0.207,0.338,0.153,0.249,0.357,0.092,0.263,0.988,0.786,0.478,0.36,34855,0.382,0.558,0.579,57542,0.149,0.109,0.041,24170,18455,36885,24170,42650,24,0.834702
2005,,1,,422,421,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,4134,3878,257,24,9790,6370,9200,6330,28195,23465,12550,7415,11900,11670,36205,21570,20805,52725,2.401,0,0.641,0.448,0.224,0.105,0.228,0.347,0.166,0.268,0.362,0.099,0.289,1.011,0.813,0.517,0.374,35760,0.391,0.575,0.572,57511,0.153,0.109,0.041,23950,18080,38000,23950,43745,24,0.858669
2006,,1,,469,467,1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,5007,4669,338,38,10690,6745,9990,6720,29560,24960,13590,6905,13070,12755,36850,23495,22435,60130,2.623,0,0.633,0.435,0.233,0.124,0.238,0.353,0.177,0.276,0.368,0.106,0.3,1.025,0.84,0.54,0.385,34925,0.392,0.601,0.561,57255,0.156,0.11,0.041,23495,17770,35810,23485,36750,24,0.876992
2007,,1,,472,471,1,11,2,,,,,,,,,,,,,,,,,,,,,,,,,5194,4850,344,23,10995,6885,10290,6870,29995,25785,11280,5250,13505,13235,37380,24720,23455,60145,2.59,0,0.621,0.424,0.232,0.138,0.26,0.389,0.193,0.302,0.404,0.113,0.325,1.038,0.872,0.559,0.413,34415,0.394,0.621,0.556,56563,0.161,0.112,0.041,23215,17105,35945,23205,42325,24,0.906824
2008,,1,,512,510,1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,5849,5421,428,40,11435,7075,10620,7065,32750,26665,17295,8945,13855,13615,40155,26020,24765,65095,2.626,1,0.605,0.406,0.233,0.155,0.299,0.45,0.222,0.349,0.47,0.132,0.361,1.061,0.973,0.614,0.485,32990,0.393,0.622,0.555,56396,0.162,0.112,0.041,21945,16470,33640,21940,41120,24,0.910217
2009,,1,,619,616,2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,7662,7033,629,42,12390,7960,11410,7945,36675,30960,13265,7500,14585,14280,46240,27205,25645,72285,2.717,0,0.619,0.405,0.257,0.174,0.302,0.453,0.254,0.344,0.472,0.164,0.399,1.069,1.05,0.66,0.545,32690,0.384,0.623,0.558,56069,0.164,0.114,0.041,21030,15450,33475,21010,39820,24,0.929017
2010,,1,,738,737,2,16,5,,,,,,,,,,,,,,,,,,,,,,,,,10083,9349,734,68,13655,9570,12690,9525,40510,32825,14410,8030,16275,15965,50705,29725,28270,82065,2.687,0,0.585,0.392,0.235,0.16,0.282,,0.236,0.333,,0.128,0.387,1.093,,0.727,,30630,0.371,0.625,0.569,55348,0.173,0.115,0.042,19275,14125,31240,19270,36225,24,0.941916
2011,,1,,929,926,3,22,6,,,,,,,,,,,,,,,,,,,,,,,,,14571,13532,1039,86,15685,10120,14610,10105,41520,33985,14390,8815,18950,18625,50695,34525,32760,87685,3.004,1,0.644,0.412,0.278,0.168,0.259,,0.224,0.301,,0.149,0.359,1.097,,0.724,,29500,0.369,0.627,0.574,55672,0.171,0.113,0.042,18495,13495,29890,18475,31885,24,0.965479
2012,,1,,971,969,2,28,8,,,,,,,,,,,,,,,,,,,,,,,,,17694,16342,1352,125,18215,11220,16865,11080,45180,36915,15445,9540,22395,21950,57840,41155,38455,94885,3.448,1,0.69,0.423,0.32,0.131,,,0.182,,,0.139,0.278,1.092,,0.735,,28720,0.376,0.642,0.565,55492,0.175,0.114,0.042,18055,13065,28850,18035,32170,24,0.980216
2013,,1,,952,950,2,30,8,,,,,,,,,,,,,,,,,,,,,,,,,19655,18185,1470,156,20650,12595,19145,12480,46005,37720,19825,10300,26735,26165,59375,49800,46465,95590,3.92,1,0.652,0.398,0.311,,,,,,,,,,,,,28220,0.391,0.664,0.558,55238,0.177,0.116,0.042,17795,12755,28320,17780,30000,24,0.992323
2014,,1,,939,937,3,39,9,,,,,,,,,,,,,,,,,,,,,,,,,21777,19817,1960,178,23190,14255,21160,14090,47245,37830,19710,10635,30640,29620,60080,56305,52015,100785,4.468,2,0.608,0.368,0.301,,,,,,,,,,,,,27260,0.402,0.672,0.552,55044,0.186,0.117,0.042,17000,11900,26910,16985,29465,24,1
1970,,2,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1190,1065,1190,1065,,,,,1310,1310,,1990,1990,,0,0,,,,0,0,0,0,0,0,,,0.846,0.571,0,0,,,,,,,,,,,,,,,0.209694
1971,,2,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,815,855,815,855,,,,,885,885,,1265,1265,,0.862,0,,,,0.103,0.103,0.276,0.103,0.207,0.31,,,0.842,0.561,0.034,0.069,,,,,,,,,,,,,,,0.217343
1972,,2,,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,1055,870,1025,865,1620,1380,,,1310,1300,2160,1860,1750,3070,1.837,0,,,,0.144,0.192,0.298,0.144,0.221,0.317,,,0.843,0.551,0.019,0.029,,,,,,,,,,,,,,,0.224633
1973,,2,,5,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,1170,875,1175,875,1080,900,,,1535,1575,1190,2215,2215,1800,1.745,0,,,,0.26,0.322,0.404,0.308,0.356,0.404,,,0.845,0.562,0.053,0.072,,,,,,,,,,,,,,,0.24199
1974,,2,,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,9,1,0,1400,1255,1365,1255,1630,1255,,,1675,1535,2095,2600,2575,2545,1.818,0,,,,0.255,0.332,0.376,0.288,0.35,0.383,,,0.843,0.56,0.037,0.06,,,,,,,,,,,,,,,0.269745
1975,,2,,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,0,1455,1290,1445,1290,1535,1275,,,1915,1870,2495,2620,2610,2955,2.272,0,,,,0.18,0.243,0.287,0.221,0.257,0.29,,,0.842,0.556,0.056,0.081,,,,,,,,,,,,,,,0.287627
1976,,2,,8,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13,12,1,0,1615,1290,1555,1280,2185,1755,,,2125,2000,2550,3040,2925,4740,2.129,0,,,,0.195,0.261,0.305,0.242,0.277,0.314,,,0.843,0.556,0.116,0.151,,,,,,,,,,,,,,,0.302189
1977,,2,,8,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0,0,1655,1295,1650,1295,1250,1290,,,1985,1985,1580,3165,3225,1780,1.927,0,,,,0.211,0.29,0.338,0.265,0.303,0.35,,,0.842,0.553,0.164,0.211,,,,,,,,,,,,,,,0.322139
1978,,2,,13,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,24,23,1,0,1825,1305,1755,1305,3315,2895,,,2175,2175,4345,3435,3305,5260,2.679,0,,,,0.127,0.201,0.231,0.179,0.218,0.235,,,0.844,0.551,0.136,0.155,,,,,,,,,,,,,,,0.346492
1979,,2,,17,16,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,32,30,2,0,1925,1395,1850,1355,2795,1910,,,2210,2195,3540,3600,3475,5245,3.234,0,,,,0.13,0.187,0.211,0.168,0.192,0.213,,,0.842,0.55,0.094,0.113,,,,,,,,,,,,,,,0.381639
1980,,2,,20,20,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,41,39,2,0,2040,1705,1995,1690,2520,2110,,,2560,2525,3775,4020,3865,4345,2.274,0,,,,0.116,0.148,0.201,0.136,0.172,0.203,,,0.843,0.546,0.077,0.097,,,,,,,,,,,,,,,0.42186
1981,,2,,38,37,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,80,76,5,0,2135,2065,2055,2005,2930,2175,,,2395,2225,3990,4130,3885,6980,2.24,0,,,,0.127,0.172,0.222,0.147,0.193,0.23,,,0.843,0.556,0.079,0.108,,,,,,,,,,,,,,,0.452594
1982,,2,,69,68,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,159,153,6,0,2290,2130,2245,2125,2570,2135,,,2600,2580,3055,4240,4195,4750,2.076,0,,,,0.118,0.165,0.205,0.142,0.181,0.211,,,0.845,0.553,0.104,0.122,,,,,,,,,,,,,,,0.474364
1983,,2,,102,100,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,266,256,9,0,2615,2165,2565,2160,3330,2370,,,3230,3205,4240,4430,4380,7000,2.142,0,,,,0.161,0.209,0.248,0.185,0.222,0.25,,,0.848,0.556,0.101,0.113,,,,,,,,,,,,,,,0.491878
1984,,2,,116,114,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,324,313,11,0,2800,2180,2750,2180,3380,2220,2625,2625,3750,3655,4305,4785,4695,6090,2.06,0,,,,0.191,0.244,0.279,0.219,0.255,0.284,,,0.852,0.562,0.127,0.135,,,,,,,,,,,,,,,0.509814
1985,,2,,133,131,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,403,388,15,0,3035,2190,2955,2190,4525,3470,3285,3285,4155,4055,5110,5565,5410,10000,2.048,0,,,,0.216,0.259,0.294,0.241,0.271,0.299,,,0.851,0.562,0.125,0.138,,,,,,,,,,,,,,,0.528431
1986,,2,,157,156,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,490,471,19,0,3115,2195,3025,2195,5275,3330,3035,2420,4185,4160,6450,6000,5715,12800,2.037,0,,,,0.228,0.275,0.316,0.253,0.286,0.324,,,0.849,0.557,0.12,0.138,,,,,,,,,,,,,,,0.536539
1987,,2,,157,155,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,510,489,21,0,3255,2205,3145,2200,5555,4205,2290,2290,4200,4200,7385,6235,5935,11270,2.04,0,,,,0.211,0.254,0.313,0.234,0.267,0.322,,,0.848,0.556,0.121,0.149,,,,,,,,,,,,,,,0.556903
1988,,2,,167,167,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,567,537,30,0,3390,2305,3225,2295,7820,5000,1735,1735,4210,4200,9675,6365,6270,17730,1.967,0,,,,0.248,0.303,0.371,0.276,0.323,0.379,,,0.85,0.556,0.172,0.234,,,,,,,,,,,,,,,0.580705
1989,,2,,145,145,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,534,503,31,0,3680,2325,3480,2325,10220,6425,2435,2235,4375,4335,12610,7025,6795,25750,2.047,0,,,,0.216,0.289,0.359,0.254,0.31,0.368,,,0.849,0.551,0.185,0.231,,,,,,,,,,,,,,,0.60299
1990,,2,,133,132,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,530,496,35,0,4005,2570,3755,2500,10840,6415,2595,2585,4725,4635,15360,7910,7510,27170,2.071,0,,,,0.218,0.289,0.358,0.256,0.307,0.366,,,0.852,0.547,0.206,0.235,,,,,,,,,,,,,,,0.631967
1991,,2,,122,122,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,523,486,36,1,4275,2625,4000,2615,11735,6360,3840,2650,5070,4905,16425,8590,8125,31005,2.253,0,,,,0.21,0.275,0.345,0.24,0.292,0.353,,,0.843,0.545,0.201,0.224,,,,,,,,,,,,,,,0.648323
1992,,2,,123,122,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,586,532,54,2,4760,2625,4340,2625,16380,10455,4545,3060,5220,5105,22820,9395,8820,37685,2.293,0,,,,0.185,0.258,0.328,0.218,0.276,0.339,,,0.84,0.545,0.193,0.217,,,,,,,,,,,,,,,0.665147
1993,,2,,129,128,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,637,573,64,1,4935,2780,4470,2680,15755,9925,4910,3010,5500,5245,22080,10485,9510,36385,2.193,0,,,,0.198,0.267,0.346,0.227,0.289,0.356,,,0.843,0.502,0.2,0.273,,,,,,,,,,,,,,,0.679709
1994,,2,,133,132,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,669,617,52,2,5045,3055,4675,2955,14180,8350,3940,3800,5980,5730,19730,10670,9820,32405,2.16,1,,,,0.18,0.257,0.327,0.22,0.278,0.333,,,0.852,0.491,0.199,0.254,,,,,,,,,,,,,,,0.694281
1995,,2,,135,134,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,767,695,71,2,5685,3460,5185,3410,16875,10970,5925,4480,6585,6320,21900,12190,11295,43390,2.23,1,,,,0.167,0.232,0.294,0.202,0.253,0.299,,,0.855,0.516,0.214,0.272,29175,0.354,0.417,0.484,49820,0.145,0.106,0.032,20060,8675,42800,20060,99790,,0.707602
1996,,2,,139,138,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,901,818,84,1,6485,4085,5920,3955,18275,12700,3085,3280,7555,7275,23835,14250,12870,44335,2.368,1,0.496,0.397,0.132,0.158,0.229,0.279,0.195,0.247,0.286,0.127,0.27,0.912,0.568,0.382,0.297,26520,0.333,0.538,0.588,55020,0.097,0.085,0.035,18165,11270,41695,18160,38370,,0.724261
1997,,2,,143,142,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,1058,952,106,3,7390,4545,6695,4415,22735,15385,6095,5215,8715,8335,31850,16245,15005,53640,2.436,1,0.466,0.376,0.126,0.146,0.211,0.264,0.185,0.222,0.275,0.11,0.251,0.928,0.586,0.411,0.315,29360,0.375,0.561,0.56,54431,0.113,0.102,0.041,20535,12860,40995,20555,0,,0.732323
1998,,2,,148,147,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,1236,1121,116,4,8340,4895,7605,4785,25250,16590,8925,4055,10275,9970,33465,19365,18105,61920,2.432,1,0.416,0.327,0.134,0.134,0.187,0.256,0.154,0.206,0.264,0.096,0.2,0.918,0.61,0.386,0.312,29775,0.382,0.562,0.537,53710,0.145,0.106,0.04,21675,14000,42230,21670,23260,,0.738253
1999,,2,,149,148,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,1457,1250,206,4,9760,5415,8455,5290,31035,19075,9280,5175,11490,10880,42425,22080,20340,81450,2.847,1,0.412,0.317,0.153,0.105,0.162,0.228,0.125,0.177,0.235,0.071,0.162,0.912,0.592,0.386,0.3,32605,0.415,0.563,0.53,57114,0.141,0.094,0.037,23690,15725,44910,23690,11125,24,0.753413
2000,,2,,153,151,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1524,1323,202,3,9995,5500,8740,5355,31155,21565,6585,5260,11840,11120,40175,23520,21245,80830,2.837,1,0.399,0.303,0.154,0.108,0.169,0.234,0.134,0.185,0.244,0.072,0.176,0.912,0.597,0.39,0.301,33285,0.44,0.557,0.521,53452,0.103,0.098,0.037,24740,16300,44920,24735,29035,23,0.77168
2001,,2,,143,142,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,1546,1335,211,3,10800,5575,9400,5480,32645,21205,8615,6825,12915,12085,38605,25840,23210,84815,3.001,1,0.405,0.306,0.158,0.104,0.164,0.227,0.127,0.179,0.233,0.063,0.17,0.906,0.599,0.367,0.289,37435,0.48,0.536,0.509,53358,0.099,0.096,0.037,27500,17000,49375,27500,32495,23,0.779909
2002,,2,,142,141,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,1580,1351,230,4,11115,5675,9575,5605,30340,21565,9405,6025,13125,12485,38535,26715,23770,64250,3.118,1,0.413,0.303,0.175,0.093,0.149,0.218,0.114,0.165,0.228,0.054,0.158,0.916,0.66,0.37,0.289,38080,0.482,0.537,0.51,53883,0.094,0.094,0.036,28620,17475,50515,28620,29015,23,0.796383
2003,,2,,153,152,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,1690,1446,245,4,11075,5585,9520,5460,29390,19900,10745,4475,13300,12595,36045,26735,23650,65820,3.14,1,0.397,0.294,0.161,0.095,0.158,0.24,0.118,0.177,0.249,0.052,0.161,0.924,0.682,0.374,0.291,39430,0.496,0.533,0.529,54128,0.092,0.092,0.036,30530,18725,51260,30525,34375,22,0.811654
2004,,2,,185,184,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,2067,1758,309,6,11160,5600,9555,5465,30995,20995,8730,5700,12830,12210,39205,27185,24160,74635,3.223,1,0.405,0.293,0.171,0.102,0.173,0.256,0.134,0.196,0.266,0.052,0.189,0.938,0.709,0.401,0.305,39500,0.484,0.541,0.525,53980,0.093,0.094,0.036,30215,18615,51930,30215,29870,23,0.834702
2005,,2,,220,219,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,2625,2248,377,11,11945,6075,10290,5945,30525,21660,9570,5790,14205,13535,38725,30180,25910,59865,3.371,1,0.437,0.322,0.176,0.103,0.185,0.262,0.137,0.205,0.27,0.06,0.196,0.963,0.738,0.434,0.321,39520,0.485,0.547,0.512,54156,0.094,0.093,0.036,30110,18235,51595,30095,29935,23,0.858669
2006,,2,,242,242,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,2988,2518,469,10,12325,6380,10425,6280,35970,25465,10055,6285,14350,13750,42695,29905,26375,72290,3.324,1,0.447,0.335,0.172,0.117,0.198,0.272,0.157,0.218,0.284,0.073,0.224,0.977,0.768,0.45,0.331,39830,0.482,0.558,0.525,54522,0.099,0.093,0.036,30460,18310,51225,30415,30155,23,0.876992
2007,,2,,242,241,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,3097,2667,429,9,12820,6540,11080,6455,36550,29300,9505,7300,15335,14800,45575,31540,28210,71930,3.325,1,0.45,0.342,0.172,0.125,0.21,0.303,0.167,0.237,0.317,0.079,0.239,0.982,0.77,0.463,0.349,39990,0.507,0.557,0.506,54601,0.104,0.093,0.036,30170,18175,50270,30170,25880,23,0.906824
2008,,2,,255,253,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,3316,2862,455,17,13030,6855,11315,6695,36080,27000,14080,7495,15825,15190,46275,31175,28170,75490,3.449,1,0.475,0.365,0.177,0.134,0.231,0.337,0.181,0.264,0.352,0.095,0.26,0.988,0.776,0.48,0.371,40690,0.521,0.574,0.506,55154,0.102,0.092,0.036,30580,17605,51105,30560,33710,22,0.910217
2009,,2,,319,317,2,15,2,,,,,,,,,,,,,,,,,,,,,,,,,4406,3773,633,17,13825,7390,11900,7295,38395,29715,11385,6380,16555,15810,49105,33375,29275,81315,3.446,1,0.507,0.395,0.183,0.145,0.261,0.365,0.215,0.294,0.378,0.134,0.299,1.017,0.846,0.531,0.413,40750,0.528,0.568,0.506,55070,0.109,0.093,0.036,29705,16505,50705,29700,31120,22,0.929017
2010,,2,,331,329,2,17,2,,,,,,,,,,,,,,,,,,,,,,,,,5287,4453,834,29,15970,8835,13535,8615,44815,36045,17415,9280,19445,18515,55330,37810,32970,91880,3.699,1,0.482,0.372,0.191,0.159,0.272,,0.227,0.304,,0.113,0.333,1.051,,0.592,,39885,0.522,0.564,0.511,55221,0.115,0.094,0.037,28750,14785,50240,28680,35200,22,0.941916
2011,,2,,473,471,3,20,3,,,,,,,,,,,,,,,,,,,,,,,,,7831,6755,1076,39,16545,9260,14350,9130,46735,35615,12260,7205,19995,19100,60300,39675,35035,100175,3.664,1,0.493,0.386,0.179,0.19,0.282,,0.244,0.309,,0.151,0.334,1.066,,0.617,,38720,0.507,0.56,0.513,54853,0.118,0.096,0.037,27315,14930,48420,27310,34360,23,0.965479
2012,,2,,586,583,2,23,4,,,,,,,,,,,,,,,,,,,,,,,,,10263,8932,1330,71,17515,9665,15310,9540,51815,40265,18360,10735,21535,20725,66575,42635,38005,112875,3.567,1,0.525,0.421,0.174,0.175,,,0.227,,,0.167,0.294,1.068,,0.639,,36210,0.491,0.56,0.513,54705,0.129,0.098,0.037,24345,13355,44790,24340,33285,23,0.980216
2013,,2,,655,653,2,26,4,,,,,,,,,,,,,,,,,,,,,,,,,12397,10900,1497,66,18920,10355,16695,10280,52205,39640,15575,10405,24005,22985,67585,46415,41915,113985,3.639,1,0.461,0.361,0.171,,,,,,,,,,,,,35710,0.5,0.578,0.498,54873,0.134,0.098,0.037,23785,12730,42885,23790,30355,23,0.992323
2014,,2,,737,734,3,32,4,,,,,,,,,,,,,,,,,,,,,,,,,15147,13302,1845,95,20560,11700,18125,11515,52895,40975,22170,13000,26895,25885,69705,49365,44855,110430,3.85,2,0.399,0.3,0.173,,,,,,,,,,,,,35650,0.516,0.6,0.495,54907,0.144,0.1,0.038,23640,12855,41430,23600,29240,23,1
1970,,3,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1015,865,1015,865,,,,,885,885,,1535,1535,,0,0,,,,0,0,0.091,0,0,0.182,,,0.844,0.579,0,0.091,,,,,,,,,,,,,,,0.209694
1971,,3,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,975,860,965,860,700,700,,,1270,1145,700,1635,1635,700,1.277,0,,,,0.069,0.109,0.149,0.109,0.139,0.168,,,0.844,0.558,0.02,0.02,,,,,,,,,,,,,,,0.217343
1972,,3,,10,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,0,1260,1160,1230,1085,1610,1420,,,1320,1320,2160,2160,2140,2435,2.473,0,,,,0.111,0.127,0.165,0.119,0.132,0.167,,,0.843,0.556,0.01,0.023,,,,,,,,,,,,,,,0.224633
1973,,3,,14,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,23,23,0,0,1700,1595,1680,1535,1010,940,,,2360,2345,1275,2805,2760,1290,2.464,0,,,,0.111,0.131,0.175,0.125,0.14,0.176,,,0.842,0.556,0.02,0.039,,,,,,,,,,,,,,,0.24199
1974,,3,,15,15,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,31,30,1,0,2040,1910,1980,1750,1600,1290,,,2640,2630,2095,3435,3435,3045,3.223,1,,,,0.118,0.153,0.201,0.136,0.16,0.211,,,0.841,0.556,0.033,0.062,,,,,,,,,,,,,,,0.269745
1975,,3,,18,18,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,40,38,1,0,2245,2000,2160,1850,1690,1280,,,3070,2895,2000,4070,3890,3005,3.842,1,,,,0.097,0.14,0.178,0.126,0.147,0.181,,,0.841,0.555,0.03,0.057,,,,,,,,,,,,,,,0.287627
1976,,3,,17,17,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,44,42,2,0,2560,2135,2465,2120,1730,1740,,,3560,3435,2145,4955,4720,2910,3.242,1,,,,0.116,0.164,0.217,0.143,0.182,0.218,,,0.841,0.551,0.087,0.124,,,,,,,,,,,,,,,0.302189
1977,,3,,19,19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,51,48,3,0,2650,2135,2495,1980,2130,1705,,,3605,3415,2500,5120,4990,3840,3.741,1,,,,0.115,0.173,0.219,0.148,0.19,0.225,,,0.841,0.551,0.089,0.12,,,,,,,,,,,,,,,0.322139
1978,,3,,23,23,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,65,59,6,0,2885,2370,2615,2165,2365,2140,,,3940,3475,2540,5665,5015,4300,3.914,1,,,,0.082,0.131,0.168,0.109,0.146,0.174,,,0.841,0.551,0.086,0.11,,,,,,,,,,,,,,,0.346492
1979,,3,,27,27,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,88,76,12,0,3220,2445,2790,2180,2985,2165,,,4235,3840,4265,6240,5140,5200,3.995,1,,,,0.085,0.119,0.154,0.098,0.129,0.159,,,0.841,0.55,0.066,0.095,,,,,,,,,,,,,,,0.381639
1980,,3,,35,35,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,122,106,16,0,3490,2570,3025,2300,3145,2355,,,4400,4190,4295,6460,5660,6295,3.794,1,,,,0.099,0.119,0.159,0.108,0.129,0.166,,,0.841,0.551,0.063,0.092,,,,,,,,,,,,,,,0.42186
1981,,3,,53,53,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,198,170,28,0,3700,2615,3180,2455,3565,3190,2645,2645,4440,4255,4295,7340,6165,6595,3.526,1,,,,0.067,0.096,0.133,0.079,0.106,0.138,,,0.841,0.55,0.056,0.08,,,,,,,,,,,,,,,0.452594
1982,,3,,90,90,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,349,293,56,0,3885,2605,3265,2410,4185,4190,1405,1405,4660,4265,4450,7730,6240,8530,2.94,1,,,,0.054,0.082,0.117,0.065,0.095,0.119,,,0.841,0.551,0.058,0.079,,,,,,,,,,,,,,,0.474364
