fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1995,,,3,1478,1445,6,5,30,5447,5304,42,102,3685,2630,3670,2630,4050,2625,3380,2440,4760,4765,4075,7305,7280,7500,5.13,1,841,836,9,3290,3270,3700,2525,2520,2555,2765,2735,30,30630,0.39,0.6,0.53,55994.7,0.13,0.09,0.04,22475,13570,45730,22450,15200,39105,0.707602
1996,,,3,1544,1511,6,5,30,6157,6001,46,111,3990,2755,3970,2755,4380,2660,3705,2490,5150,5150,4360,8040,8000,8100,5.19,1,867,862,9,3560,3540,4075,2645,2640,2630,3085,3050,35,31085,0.42,0.61,0.52,55153.9,0.12,0.09,0.04,22730,14050,44245,22685,16240,36220,0.724261
1997,,,3,1623,1590,5,5,30,6984,6812,50,122,4305,2915,4285,2915,4805,2700,4060,2705,5425,5425,4785,8750,8745,9275,5.26,1,896,891,8,3840,3820,4250,2765,2760,2680,3440,3405,35,31800,0.43,0.61,0.51,55814.3,0.12,0.09,0.04,23040,14085,44655,23030,22430,30395,0.732323
1998,,,3,1726,1694,5,6,30,8021,7815,70,136,4645,3210,4615,3210,6220,3170,4535,2990,5975,5960,5700,9900,9865,12205,5.28,2,956,951,9,4405,4380,5140,3105,3100,3085,4210,4165,45,32760,0.45,0.62,0.5,55312.3,0.11,0.09,0.04,24030,14470,45755,24025,18500,33390,0.738253
1999,,,3,1780,1748,5,6,30,8867,8639,81,147,4980,3400,4945,3395,7410,3490,4820,3185,6345,6335,6175,10705,10645,15885,5.32,2,988,983,8,4765,4735,5995,3335,3330,3380,4705,4655,50,33705,0.46,0.62,0.5,54576.3,0.1,0.09,0.04,24565,14740,46250,24560,23500,34000,0.753413
2000,,,3,1809,1777,5,6,30,9578,9336,79,164,5295,3550,5250,3540,7625,3505,5375,3520,6690,6675,6860,11460,11410,15340,5.35,2,1001,997,8,5135,5105,6730,3540,3535,3435,5145,5090,55,34765,0.47,0.62,0.51,54287.5,0.1,0.09,0.04,25475,15190,46965,25475,23380,36275,0.77168
2001,,,3,1858,1825,5,6,31,10386,10126,85,175,5590,3730,5550,3715,8030,3575,5570,3770,7000,6995,7390,12215,12180,19115,5.38,2,1018,1014,8,5485,5455,7035,3740,3735,3595,5590,5535,55,35810,0.48,0.61,0.51,54035.2,0.1,0.09,0.04,26310,15650,47940,26310,22845,34000,0.779909
2002,,,3,1967,1934,5,6,32,11462,11174,89,199,5830,3830,5780,3815,8255,3795,6200,3965,7270,7250,7725,12800,12750,21195,5.38,2,1040,1036,8,5790,5750,7710,3865,3860,3755,6020,5955,60,36880,0.48,0.61,0.51,54284.7,0.1,0.09,0.04,27205,16085,49050,27210,22845,40140,0.796383
2003,,,3,2131,2095,5,7,36,13024,12670,107,247,6115,3940,6050,3940,8985,4080,6925,4065,7590,7560,8295,13535,13465,22135,5.35,2,1079,1075,8,6035,5995,8125,3940,3935,3925,6510,6445,65,37720,0.49,0.61,0.51,54461.2,0.1,0.09,0.04,27800,16350,49785,27800,22430,44235,0.811654
2004,,,3,2317,2278,5,8,41,14915,14460,119,336,6435,4060,6350,4040,9450,4425,8290,4410,8005,7960,9375,14370,14240,22850,5.28,2,1145,1141,9,6280,6235,8925,4005,4000,4080,7190,7110,80,38020,0.49,0.62,0.51,54374.8,0.1,0.09,0.04,28035,16535,49880,28030,19695,40375,0.834702
2005,,,3,2503,2457,5,9,48,16995,16503,145,348,6790,4265,6715,4255,10580,4640,7245,4180,8550,8520,11305,15325,15220,25920,5.17,2,1233,1229,9,6605,6550,10445,4135,4130,4360,8150,8050,100,38545,0.5,0.62,0.51,54359,0.11,0.09,0.04,28460,16570,50200,28450,26680,43575,0.858669
2006,,,3,2675,2627,4,10,52,19438,18867,166,404,7265,4535,7185,4525,11480,4945,7775,4430,9255,9210,13395,16505,16375,28875,5.06,3,1340,1336,10,7000,6935,11150,4365,4360,4730,9375,9265,115,38835,0.5,0.62,0.51,54432.2,0.11,0.09,0.04,28595,16370,50115,28575,26645,39575,0.876992
2007,,,3,2844,2794,4,11,56,22246,21567,187,492,7820,4905,7720,4890,12320,5220,8780,4855,10020,9975,13895,17875,17690,32140,4.95,3,1445,1441,11,7450,7385,11585,4640,4630,4925,10765,10645,125,39120,0.51,0.62,0.5,54535.8,0.11,0.09,0.04,28695,16355,49920,28685,25350,40820,0.906824
2008,,,3,3035,2985,4,12,57,25616,24860,225,531,8440,5330,8330,5325,13970,5850,9305,4880,10790,10740,16050,19330,19125,38270,4.8,3,1555,1551,11,7875,7805,12685,4895,4880,5445,12245,12110,140,39465,0.52,0.62,0.5,54657,0.11,0.09,0.04,28765,16065,49830,28755,28045,37625,0.910217
2009,,,3,3368,3316,4,14,60,30593,29702,293,597,9085,5710,8955,5700,15945,7365,9945,5315,11595,11550,19650,20720,20495,43515,4.58,2,1726,1723,12,8285,8210,13520,5105,5095,5695,14295,14140,160,39960,0.52,0.61,0.5,54920.3,0.12,0.09,0.04,28775,15910,50040,28765,28120,37990,0.929017
2010,,,3,3733,3679,4,17,64,36703,35666,373,664,9835,6240,9695,6235,17345,7550,10440,5470,12645,12585,22825,22340,22115,47050,4.36,2,1895,1891,13,8780,8695,14690,5415,5405,6185,16635,16445,190,39585,0.51,0.6,0.5,55003.1,0.12,0.09,0.04,28125,15475,49605,28115,31075,38735,0.941916
2011,,,3,4171,4113,4,22,71,44659,43385,487,786,10710,6895,10550,6895,18600,8175,11095,5610,13945,13880,25160,24390,24105,49780,4.13,2,2197,2194,15,9585,9495,16230,5960,5950,6645,21065,20825,240,38955,0.51,0.6,0.5,55049.9,0.12,0.09,0.04,27095,14790,48585,27090,29420,35740,0.965479
2012,,,3,4578,4520,4,25,75,52611,51112,605,891,11490,7390,11305,7380,20895,10115,11915,6185,14930,14855,29725,26290,25990,54760,3.89,2,2614,2611,18,10395,10285,18525,6420,6405,7700,27185,26855,330,38200,0.51,0.6,0.5,55061.1,0.13,0.1,0.04,26245,14145,47350,26240,31100,34100,0.980216
2013,,,3,4866,4810,4,27,74,59386,57734,702,949,12205,7800,12005,7785,22820,10865,12830,6570,15915,15835,33645,28275,27940,59005,3.67,1,3064,3060,21,11310,11180,20490,6945,6935,8765,34650,34215,435,37755,0.51,0.59,0.5,55071,0.13,0.1,0.04,25660,13595,46305,25655,31270,32265,0.992323
2014,,,3,5042,4987,4,28,74,64758,62931,795,1031,12845,8095,12620,8080,24850,11810,13865,6800,16825,16715,36205,30195,29825,62845,3.47,1,3576,3572,24,12215,12070,22630,7495,7480,10980,43675,43120,555,37545,0.52,0.59,0.5,55074.6,0.13,0.1,0.04,25340,13295,45775,25340,32915,31855,1
1970,,,4,93,88,5,1,0,113,105,8,0,1215,890,1190,890,1465,1335,,,1335,1335,1335,2135,2005,2670,5.5,1,1,1,0,910,890,1115,875,865,1170,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,,4,161,153,8,2,0,251,233,18,0,1560,1335,1530,1335,1630,1335,,,1940,1780,2135,2670,2670,2670,5.57,1,7,6,1,1080,1065,1085,865,865,1135,5,5,0,,,,,,,,,,,,,,,0.217343
1972,,,4,215,204,12,4,0,380,352,28,0,1765,1335,1730,1335,1735,1335,,,2405,2225,2250,3220,3115,2670,5.69,1,25,23,2,1190,1150,1370,880,880,1180,30,25,5,,,,,,,,,,,,,,,0.224633
1973,,,4,263,247,15,7,0,494,453,40,0,1880,1335,1830,1335,1850,1335,,,2655,2575,2500,3560,3560,3560,5.79,1,52,48,5,1390,1350,1515,1190,1170,1255,70,65,5,,,,,,,,,,,,,,,0.24199
1974,,,4,312,293,19,10,0,629,571,58,0,2015,1580,1950,1500,1970,1335,,,2670,2670,2490,3935,3775,3960,5.92,1,83,77,8,1570,1530,1605,1255,1220,1225,130,120,10,,,,,,,,,,,,,,,0.269745
1975,,,4,363,338,25,14,0,771,691,80,0,2125,1720,2040,1600,2070,1600,,,2670,2670,2670,4010,4005,4005,6.05,1,116,108,12,1755,1690,1830,1420,1325,1280,205,185,20,,,,,,,,,,,,,,,0.287627
1976,,,4,412,381,31,19,0,921,814,107,0,2235,1780,2135,1765,2145,1780,,,2850,2670,2670,4435,4095,4265,6.18,2,142,132,16,1880,1805,1940,1520,1455,1410,270,240,30,,,,,,,,,,,,,,,0.302189
1977,,,4,497,458,40,26,0,1180,1023,157,0,2375,1780,2235,1780,2385,1780,,,3115,2895,3025,4630,4450,4500,6.26,2,176,162,20,1955,1865,2010,1560,1500,1500,345,305,40,,,,,,,,,,,,,,,0.322139
1978,,,4,615,561,54,36,0,1552,1312,241,0,2525,1980,2335,1780,2680,2025,,,3340,3115,3560,4905,4450,5340,6.3,2,217,198,29,2065,1945,2150,1595,1540,1630,445,385,60,,,,,,,,,,,,,,,0.346492
1979,,,4,856,776,79,51,0,2296,1894,402,0,2685,2225,2440,2135,3080,2225,,,3560,3145,4445,5245,4540,6475,6.16,2,265,241,40,2185,2035,2270,1665,1585,1725,580,490,90,,,,,,,,,,,,,,,0.381639
1980,,,4,1311,1185,125,80,0,3756,3040,716,0,2865,2225,2565,2225,3495,2670,,,3830,3415,4450,5340,4470,7275,5.9,2,330,297,54,2305,2110,2480,1730,1655,1805,760,625,135,,,,,,,,,,,,,,,0.42186
1981,,,4,1951,1754,195,119,2,6337,5008,1325,4,3250,2225,2855,2225,4220,3655,2500,2640,4450,4005,4900,6230,5115,8900,5.71,2,443,396,78,2460,2215,2740,1955,1800,2000,1090,875,215,,,,,,,,,,,,,,,0.452594
1982,,,4,2312,2076,230,148,6,8156,6347,1793,16,3530,2605,3055,2225,4745,4180,2705,2490,4450,4430,6345,6675,5760,9335,5.69,2,634,562,120,2715,2385,3200,2120,2010,2380,1725,1340,385,,,,,,,,,,,,,,,0.474364
1983,,,4,2661,2375,269,176,17,10008,7685,2277,47,3760,2815,3235,2450,5125,4240,2785,2545,4540,4450,7075,7120,6360,11125,5.66,2,891,784,176,3050,2630,3745,2220,2115,2935,2720,2060,660,,,,,,,,,,,,,,,0.491878
1984,,,4,3068,2729,310,208,30,12077,9154,2833,90,3935,2985,3355,2500,5470,4345,2975,2515,4920,4450,7745,7745,6675,12425,5.62,2,1169,1025,232,3350,2865,4210,2555,2205,3400,3915,2935,980,,,,,,,,,,,,,,,0.509814
1985,,,4,3479,3086,347,242,47,14177,10630,3398,149,4075,3115,3445,2590,5770,4450,3200,2510,5120,4450,8075,8080,6675,12930,5.6,2,1468,1288,290,3590,3050,4600,2790,2455,3520,5265,3930,1335,,,,,,,,,,,,,,,0.528431
1986,,,4,3811,3373,378,270,61,15805,11748,3858,199,4150,3125,3485,2660,5955,4450,3240,2490,5290,4450,8400,8255,6675,13350,5.59,2,1786,1567,354,3750,3165,4900,2870,2505,3590,6695,4960,1735,,,,,,,,,,,,,,,0.536539
1987,,,4,4066,3587,400,295,80,17286,12655,4368,263,4250,3165,3530,2720,6280,4450,3290,2490,5435,4650,8540,8425,6920,14045,5.59,2,2068,1815,412,3865,3230,5160,2890,2555,3680,7990,5865,2130,,,,,,,,,,,,,,,0.556903
1988,,,4,4320,3780,425,320,117,18970,13573,4997,400,4390,3190,3590,2755,6700,4450,3420,2635,5585,4810,8900,8785,7170,15140,5.6,2,2314,2033,465,3980,3285,5425,2915,2570,3725,9205,6685,2525,,,,,,,,,,,,,,,0.580705
1989,,,4,4583,3974,448,345,164,20778,14547,5629,602,4535,3190,3660,2765,7095,4775,3660,3120,5730,4925,9525,9280,7485,16375,5.6,2,2518,2215,508,4070,3325,5700,2885,2585,3750,10255,7360,2895,,,,,,,,,,,,,,,0.60299
1990,,,4,4839,4157,471,368,216,22992,15795,6365,832,4750,3215,3800,2800,7590,5000,3850,3170,5945,5075,10115,9915,7860,17860,5.61,2,2663,2341,546,4195,3370,6010,2880,2585,3775,11165,7885,3280,,,,,,,,,,,,,,,0.631967
1991,,,4,5078,4321,489,387,276,25746,17402,7226,1117,5070,3340,4025,2910,8240,5360,4055,3250,6335,5325,11215,10770,8450,19735,5.61,3,2732,2400,570,4415,3490,6465,2920,2625,4005,12060,8375,3680,,,,,,,,,,,,,,,0.648323
1992,,,4,5278,4450,501,404,337,28955,19342,8173,1440,5485,3555,4345,3125,9030,5925,4270,3280,6875,5780,12015,11710,9250,21920,5.66,3,2718,2385,577,4760,3705,7115,3055,2700,4435,12945,8840,4100,,,,,,,,,,,,,,,0.665147
1993,,,4,5543,4667,513,416,375,33568,22564,9311,1692,6055,3950,4835,3505,10020,6830,4510,3255,7615,6495,13940,13045,10400,23890,5.7,3,2710,2376,584,5255,4040,7960,3345,2860,4945,14245,9600,4645,,,,,,,,,,,,,,,0.679709
1994,,,4,5930,4999,537,439,408,40806,27674,11084,2049,6880,4565,5535,4000,11355,7500,5020,3505,8820,7545,15585,14935,11910,27155,5.7,3,2765,2424,598,5765,4400,8825,3605,3090,5370,15940,10670,5275,,,,,,,,,,,,,,,0.694281
1995,,,4,6292,5300,562,471,446,49446,33585,13335,2526,7860,5250,6335,4700,12905,8500,5670,3865,10210,8795,17550,17120,13815,30525,5.69,3,2841,2490,614,6480,4920,10020,4015,3440,6180,18405,12255,6150,47885,0.66,0.55,0.37,59581.7,0.14,0.09,0.04,37640,14850,56030,40095,16020,48465,0.707602
1996,,,4,6729,5673,584,506,491,59632,40595,15882,3155,8860,5715,7155,5250,14565,9585,6430,4200,11615,10030,19370,19355,15740,34125,5.7,3,2956,2594,639,7410,5645,11380,4695,3965,7085,21915,14645,7270,49205,0.68,0.56,0.37,55908,0.12,0.1,0.04,38910,15250,56585,41250,18635,54020,0.724261
1997,,,4,7143,6030,604,547,530,70543,48078,18609,3856,9875,6305,7975,5695,16160,10680,7280,4670,12985,11180,21610,21575,17390,37775,5.72,3,3116,2740,674,8505,6475,12995,5285,4565,8045,26500,17745,8755,49850,0.69,0.56,0.36,54651,0.12,0.1,0.04,39720,15620,56965,41895,19800,52180,0.732323
1998,,,4,7646,6482,623,616,566,81690,55554,21576,4559,10685,6765,8570,6030,17415,11030,8055,5115,14100,12120,23445,23710,19030,41435,5.74,3,3406,3008,736,10195,7745,15530,6200,5240,9465,34730,23300,11430,51035,0.7,0.56,0.36,56609.1,0.13,0.1,0.04,40860,16210,57555,42995,21440,49915,0.738253
1999,,,4,8038,6834,632,672,599,93341,63317,24730,5295,11610,7365,9265,6505,18970,12160,8835,5560,15245,13235,25445,25915,20500,45245,5.75,4,3639,3223,791,11500,8715,17405,7125,5930,10625,41855,28090,13765,52205,0.71,0.56,0.36,59707.7,0.11,0.09,0.03,41990,16475,58320,44165,23220,49830,0.753413
2000,,,4,8341,7093,636,720,641,104366,70434,27812,6120,12515,7935,9930,7025,20515,12925,9545,6035,16315,14190,27365,27915,21850,48905,5.76,4,3810,3384,833,12780,9680,19135,8040,6735,11805,48690,32750,15935,53490,0.71,0.56,0.36,60159.6,0.11,0.09,0.03,43245,16795,59230,45470,25320,50005,0.77168
2001,,,4,8665,7380,642,773,676,115778,77774,31069,6934,13360,8435,10540,7565,21965,13770,10255,6490,17190,14905,28840,29990,23035,52425,5.76,4,3990,3555,876,14035,10590,20935,8870,7500,12805,55985,37645,18345,54730,0.72,0.56,0.37,60224.4,0.12,0.09,0.03,44375,17075,60135,46575,27270,48590,0.779909
2002,,,4,9075,7735,653,845,725,127928,85380,34608,7939,14095,8835,11040,7960,23105,14315,10950,6825,17940,15515,30135,31785,24105,55335,5.74,4,4171,3734,919,15100,11330,22480,9540,8070,13690,62985,42320,20665,55940,0.73,0.56,0.37,60379.7,0.12,0.09,0.03,45500,17460,60915,47650,29830,48590,0.796383
2003,,,4,9574,8150,670,936,800,142130,93717,38836,9577,14845,9210,11500,8275,24185,15110,11970,7055,18770,16105,31290,33620,25110,57260,5.69,4,4394,3957,973,16110,11965,24090,10110,8540,14610,70790,47345,23445,56735,0.73,0.56,0.36,60386.5,0.12,0.09,0.03,46000,17685,61310,48145,32000,48925,0.811654
2004,,,4,10094,8581,686,1029,882,158413,102767,44007,11639,15695,9750,11975,8735,25650,16390,13190,7655,19815,16745,33375,35725,26120,59485,5.63,4,4649,4205,1041,17160,12595,25740,10805,9135,15685,79760,52960,26800,57540,0.73,0.57,0.36,60535.6,0.12,0.09,0.03,46590,17845,61750,48670,33905,47825,0.834702
2005,,,4,10605,8993,697,1131,982,175116,112868,49707,12541,16510,10275,12550,9130,27195,17410,12775,7475,20795,17375,35510,37780,27420,62490,5.56,4,4993,4532,1143,18365,13280,27575,11670,9850,16960,91705,60185,31525,58275,0.74,0.57,0.36,60664.4,0.12,0.09,0.03,47075,17860,62105,49200,35550,47120,0.858669
2006,,,4,11041,9383,707,1237,1031,194067,123694,55893,14480,17575,11000,13180,9750,28745,18610,14040,8235,22040,18210,37480,40400,28860,65740,5.5,4,5343,4866,1250,19555,14000,29110,12595,10550,18230,104495,68120,36375,58990,0.74,0.57,0.36,60822.3,0.12,0.09,0.03,47640,17935,62385,49730,37080,46305,0.876992
2007,,,4,11462,9739,732,1333,1082,214058,134440,63081,16537,18675,11665,13805,10315,30545,19565,15285,9005,23210,18940,39715,42995,30295,69985,5.43,4,5600,5117,1323,20520,14650,30205,13260,11085,19120,114915,74970,39945,59695,0.75,0.57,0.36,60972.3,0.12,0.09,0.03,48185,17930,62845,50300,38525,45415,0.906824
2008,,,4,11950,10151,766,1434,1132,236056,146449,71084,18521,19755,12305,14425,10870,32315,20905,16365,9585,24315,19525,41980,45455,31505,74540,5.34,4,5904,5402,1411,21410,15185,31450,13750,11465,20090,126390,82025,44365,60630,0.75,0.56,0.35,61199.4,0.11,0.09,0.03,48870,18025,63350,50940,39655,46070,0.910217
2009,,,4,12643,10716,818,1549,1220,262574,161788,80297,20463,20770,13045,15100,11485,33920,21560,16780,9695,25265,20190,43985,47450,32745,78945,5.22,4,6343,5805,1535,22215,15565,32935,14105,11655,21125,140900,90360,50540,61780,0.76,0.56,0.35,61507.3,0.11,0.08,0.03,49550,18110,63960,51665,40855,44465,0.929017
2010,,,4,13379,11309,870,1667,1329,292687,178973,90440,23216,21875,13820,15825,12060,35645,22520,17470,10000,26595,21390,45990,49765,34210,83450,5.1,4,6787,6218,1659,23175,16075,34560,14510,11955,21975,157285,99945,57340,62290,0.76,0.56,0.35,61704.9,0.11,0.08,0.03,49725,18135,64100,51820,41975,42300,0.941916
2011,,,4,14139,11928,921,1786,1442,327509,198981,101835,26604,23165,14595,16680,12625,37630,23690,18445,10525,28400,22835,48220,52530,36160,88910,4.97,3,7348,6737,1801,24385,16850,36470,15080,12365,22985,179185,113505,65680,62455,0.76,0.56,0.35,61872.1,0.11,0.08,0.03,49415,18045,63770,51450,42800,38640,0.965479
2012,,,4,14734,12462,948,1880,1486,361879,218774,113177,29827,24560,15290,17555,13150,40030,25165,20075,11495,30330,24185,51210,55625,38285,94785,4.82,3,8032,7374,1961,25595,17665,38420,15690,12800,24030,205575,130255,75320,62480,0.76,0.56,0.35,61976.9,0.11,0.08,0.03,49150,17980,63350,51030,43780,37650,0.980216
2013,,,4,15192,12890,962,1957,1513,393509,237154,123369,32883,25900,15950,18400,13730,42270,26470,21740,12185,32010,25575,53935,58620,40415,100945,4.66,3,8734,8035,2114,26905,18585,40530,16375,13305,25095,234985,149320,85665,62600,0.77,0.56,0.35,62073.9,0.11,0.08,0.03,49005,17985,63010,50770,44485,36925,0.992323
2014,,,4,15640,13298,974,2032,1552,424369,254685,133452,36135,27135,16400,19150,14150,44390,27685,23285,12845,33400,26830,56250,61565,42540,106300,4.48,3,9513,8777,2261,28220,19590,42675,17150,13935,26395,268450,171955,96490,62725,0.77,0.56,0.35,62150.3,0.11,0.08,0.03,48860,17895,62675,50540,44985,36355,1
1970,,,5,2,2,0,0,0,3,2,0,0,1130,890,1110,890,1495,1425,,,1325,1195,1600,2135,2135,2225,6.58,1,0,0,0,1310,1310,,1310,1310,,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,,5,5,4,0,0,0,6,6,0,0,1300,1020,1285,890,1305,1335,,,1600,1600,1425,2225,2225,1915,5.22,0,0,0,0,1140,1075,700,885,885,700,0,0,0,,,,,,,,,,,,,,,0.217343
1972,,,5,7,7,0,0,0,10,10,1,0,1470,1335,1430,1280,1915,1335,,,1780,1780,2160,2670,2670,4005,5.09,1,1,1,0,1120,1035,1360,890,865,1320,0,0,0,,,,,,,,,,,,,,,0.224633
1973,,,5,9,9,0,0,0,14,13,1,0,1525,1335,1485,1335,1935,1335,,,2000,1890,2225,2670,2670,4005,5.75,1,2,2,0,1175,1145,1205,1030,895,1200,0,0,0,,,,,,,,,,,,,,,0.24199
1974,,,5,11,11,1,0,0,19,17,2,0,1660,1335,1605,1335,2135,1780,,,2040,1985,2545,2785,2670,5000,5.68,1,4,3,0,1355,1300,1685,1205,1160,1165,5,5,0,,,,,,,,,,,,,,,0.269745
1975,,,5,14,13,1,0,0,25,23,2,0,1775,1335,1715,1335,2315,1720,,,2225,2170,3115,3115,2930,5115,5.94,1,5,5,0,1365,1335,1595,1195,1190,1095,5,5,0,,,,,,,,,,,,,,,0.287627
1976,,,5,17,16,1,0,0,32,29,2,0,1885,1335,1825,1335,2520,1715,,,2290,2225,3560,3560,3410,5340,6.22,1,6,6,0,1485,1435,2050,1240,1225,1200,10,10,0,,,,,,,,,,,,,,,0.302189
1977,,,5,22,21,1,0,0,43,40,3,0,1940,1500,1890,1460,2445,1580,,,2250,2225,3430,3560,3460,5340,6.63,1,8,7,0,1540,1485,2060,1225,1215,1160,10,10,0,,,,,,,,,,,,,,,0.322139
1978,,,5,28,27,1,0,0,57,53,4,0,2045,1720,1990,1685,2575,1870,,,2560,2445,3770,3920,3565,5340,6.44,1,10,10,1,1645,1595,2300,1295,1290,1380,15,15,0,,,,,,,,,,,,,,,0.346492
1979,,,5,37,36,1,1,0,82,77,5,0,2235,1940,2160,1870,2905,2185,,,2670,2620,3990,4395,4095,6135,6.29,1,13,13,1,1755,1690,2410,1390,1375,1635,25,20,0,,,,,,,,,,,,,,,0.381639
1980,,,5,52,50,2,1,0,123,116,7,0,2380,2225,2320,2225,2795,2225,,,2875,2695,3880,4450,4450,5045,5.98,1,17,17,1,1900,1845,2355,1565,1540,1975,35,30,0,,,,,,,,,,,,,,,0.42186
1981,,,5,73,70,2,1,0,189,178,11,0,2605,2225,2530,2225,3295,2225,2385,2620,3305,3140,4450,4450,4450,7615,5.76,1,24,23,1,2040,1975,2560,1820,1755,2140,50,45,5,,,,,,,,,,,,,,,0.452594
1982,,,5,89,87,2,2,0,244,229,14,1,2730,2225,2645,2225,3660,2670,2685,2460,3560,3540,4450,4785,4495,8700,5.66,1,34,33,2,2270,2220,2515,2025,2020,2030,80,75,5,,,,,,,,,,,,,,,0.474364
1983,,,5,104,101,2,2,1,299,281,16,2,2880,2225,2790,2225,3715,2550,3065,2565,3960,3850,4450,5130,4940,8900,5.62,1,47,46,2,2445,2400,2540,2095,2090,2025,115,110,5,,,,,,,,,,,,,,,0.491878
1984,,,5,118,114,3,2,1,348,325,20,3,2955,2225,2855,2225,4145,3120,2705,2460,4070,3960,4500,5340,5085,8900,5.47,1,59,57,2,2575,2515,2945,2120,2105,2250,150,145,5,,,,,,,,,,,,,,,0.509814
1985,,,5,135,131,3,2,1,398,373,22,3,2955,2225,2855,2225,4335,3195,2320,2250,4055,3970,5790,5365,5180,8900,5.37,1,71,70,3,2695,2615,3435,2145,2125,2530,190,185,10,,,,,,,,,,,,,,,0.528431
1986,,,5,149,144,3,2,2,432,404,23,5,2905,2225,2810,2225,4420,3220,2450,2195,3905,3825,5945,5225,5030,9450,5.18,1,85,83,3,2725,2630,3805,2150,2135,2805,230,220,15,,,,,,,,,,,,,,,0.536539
1987,,,5,160,154,3,2,3,459,430,23,6,2875,2225,2785,2225,4560,3245,2325,2155,3775,3690,5840,5270,5070,10110,5.12,1,97,95,4,2725,2630,3995,2170,2150,2965,265,250,15,,,,,,,,,,,,,,,0.556903
1988,,,5,174,167,3,2,4,510,473,27,10,2930,2335,2830,2335,5050,3195,2550,2300,3720,3665,6575,5395,5260,10000,5,1,109,107,4,2715,2620,4295,2185,2145,2770,295,280,15,,,,,,,,,,,,,,,0.580705
1989,,,5,188,181,3,3,5,574,531,31,12,3050,2335,2940,2335,5510,3315,2580,2190,3900,3870,6675,5800,5620,11125,4.91,1,122,119,4,2755,2665,4490,2230,2205,2775,335,320,15,,,,,,,,,,,,,,,0.60299
1990,,,5,198,190,3,2,6,622,575,31,16,3140,2500,3030,2470,5850,3295,2820,2340,3975,3925,7160,6210,5920,14175,4.79,1,131,129,4,2850,2755,4855,2260,2245,2945,375,355,20,,,,,,,,,,,,,,,0.631967
1991,,,5,205,195,3,2,7,673,622,33,18,3290,2610,3185,2595,6185,3440,2755,2375,4155,4100,7500,6625,6455,15000,4.75,1,134,132,4,2985,2890,4975,2400,2345,3010,400,380,20,,,,,,,,,,,,,,,0.648323
1992,,,5,208,197,3,2,8,736,678,36,22,3550,2625,3435,2625,6875,3780,2920,2510,4585,4525,7870,7055,6875,15000,4.77,1,134,132,4,3225,3100,5985,2500,2500,3015,435,410,25,,,,,,,,,,,,,,,0.665147
1993,,,5,207,197,3,2,8,800,734,40,26,3860,2645,3725,2625,7980,3880,3215,2730,4985,4950,9800,7650,7535,19810,4.73,1,134,132,4,3540,3405,6525,2610,2590,3265,475,450,25,,,,,,,,,,,,,,,0.679709
1994,,,5,208,197,3,2,9,862,787,43,33,4140,2780,3985,2755,9105,5000,3830,2780,5250,5210,10530,8215,7985,22505,4.7,1,136,134,4,3755,3615,7215,2670,2655,3780,510,485,25,,,,,,,,,,,,,,,0.694281
1995,,,5,204,193,3,2,9,909,828,47,34,4465,2985,4285,2930,11085,5145,4010,2825,5700,5625,12990,9345,9090,30425,4.65,1,135,133,3,3990,3850,7850,2785,2760,4710,540,515,25,31220,0.42,0.64,0.5,58288.9,0.15,0.1,0.04,21595,16825,32825,21615,35045,13225,0.707602
1996,,,5,202,191,2,2,9,966,876,54,37,4790,3295,4585,3240,12680,5730,4170,3115,6090,6005,12720,9945,9620,35595,4.6,1,135,133,3,4330,4175,8815,2985,2930,5000,585,555,30,31160,0.41,0.66,0.51,59414.8,0.18,0.1,0.04,20925,12985,37510,20925,11545,14790,0.724261
1997,,,5,198,187,2,2,9,1007,910,55,42,5095,3515,4880,3475,13725,5730,4520,3270,6490,6375,11370,10575,10315,51250,4.6,1,136,134,3,4700,4525,10405,3270,3230,5035,640,605,30,33490,0.42,0.65,0.5,58233.6,0.18,0.1,0.04,21645,13855,39055,21670,16380,14790,0.732323
1998,,,5,197,186,2,2,10,1071,981,46,44,5440,3755,5280,3730,12430,5020,4600,3595,7010,6925,9325,11860,11760,30370,4.55,1,139,137,3,5295,5090,11625,3650,3605,5015,735,700,35,34045,0.43,0.64,0.5,58400.4,0.15,0.1,0.04,22945,14790,40505,22975,6715,14790,0.738253
