fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1978,,,2,24,23,0,0,0,50,49,2,0,2140,1915,2105,1900,2785,1470,,,2225,2225,4220,4005,4005,6675,5.02,1,8,8,0,1675,1675,1710,1300,1300,1245,15,15,0,,,,,,,,,,,,,,,0.346492
1979,,,2,37,36,1,0,0,86,83,3,0,2315,2190,2280,2185,2665,1780,,,2560,2500,3560,4450,4450,6460,5.43,1,12,11,0,1830,1815,2560,1540,1540,1520,20,20,0,,,,,,,,,,,,,,,0.381639
1980,,,2,63,62,2,1,0,155,149,6,0,2460,2225,2415,2225,2625,2225,,,2670,2560,3560,4450,4450,4450,5.46,1,17,17,0,1985,1955,2340,1780,1770,1480,35,35,0,,,,,,,,,,,,,,,0.42186
1981,,,2,97,95,3,2,0,264,249,15,0,2720,2225,2635,2225,3635,2670,2625,2625,3450,3240,4450,4450,4450,8570,5.38,1,27,26,1,2100,2075,2190,1935,1910,1830,55,55,0,,,,,,,,,,,,,,,0.452594
1982,,,2,135,132,3,2,0,377,355,21,1,2780,2225,2690,2225,4175,3640,2460,2615,3560,3430,4450,4450,4450,8900,5.2,1,44,43,1,2340,2305,2400,2070,2065,2035,105,100,5,,,,,,,,,,,,,,,0.474364
1983,,,2,192,186,4,2,2,559,524,31,4,2920,2225,2825,2225,4720,4125,2305,2550,4005,3860,6150,4860,4475,8900,5.08,1,70,68,3,2610,2525,3725,2130,2125,2600,180,170,10,,,,,,,,,,,,,,,0.491878
1984,,,2,259,248,6,3,5,789,725,53,11,3050,2225,2930,2225,5355,4450,2470,2530,4040,3940,7670,5265,5000,12115,4.99,1,101,99,4,2710,2625,3865,2155,2145,3075,275,260,15,,,,,,,,,,,,,,,0.509814
1985,,,2,329,313,8,4,8,1034,942,72,21,3145,2225,3010,2225,5980,4450,2550,2485,4165,4045,8900,5785,5365,13350,4.96,1,143,140,5,2840,2745,4510,2180,2165,3485,405,385,25,,,,,,,,,,,,,,,0.528431
1986,,,2,398,376,9,5,13,1277,1154,88,34,3205,2225,3070,2225,6205,4450,2600,2500,4255,4190,8900,6025,5785,13835,4.91,1,191,186,7,2950,2850,4770,2200,2185,3645,565,530,30,,,,,,,,,,,,,,,0.536539
1987,,,2,471,441,10,6,20,1566,1402,108,56,3325,2335,3180,2335,6855,4450,2775,2490,4315,4255,8900,6280,6020,15575,4.85,1,242,236,9,3075,2945,5590,2230,2210,3660,745,695,50,,,,,,,,,,,,,,,0.556903
1988,,,2,548,506,12,6,31,1958,1730,135,93,3575,2500,3420,2410,7575,4450,2985,2675,4495,4450,10245,6725,6520,18475,4.8,1,295,287,11,3200,3045,6190,2385,2325,3730,940,875,70,,,,,,,,,,,,,,,0.580705
1989,,,2,621,566,13,7,44,2362,2061,163,138,3805,2630,3645,2570,8375,5160,3160,3070,4670,4670,10600,7310,7090,18985,4.7,1,343,334,13,3420,3230,7300,2500,2500,3875,1175,1080,95,,,,,,,,,,,,,,,0.60299
1990,,,2,691,624,13,7,55,2767,2414,173,180,4005,2700,3865,2640,8500,5185,3250,3065,4960,4960,10460,7900,7745,20685,4.61,1,389,379,14,3625,3430,7595,2615,2565,4065,1410,1300,110,,,,,,,,,,,,,,,0.631967
1991,,,2,751,671,15,8,68,3253,2826,197,230,4330,2810,4210,2700,8705,5255,3375,3085,5250,5250,10945,8595,8460,22500,4.53,1,428,417,16,3875,3685,7705,2650,2625,4575,1660,1540,120,,,,,,,,,,,,,,,0.648323
1992,,,2,808,715,16,9,81,3733,3225,228,280,4615,3000,4510,2860,9225,5520,3460,3085,5600,5540,11545,9485,9375,23235,4.46,1,462,451,16,4275,4105,7590,2715,2695,4395,1975,1850,125,,,,,,,,,,,,,,,0.665147
1993,,,2,851,746,18,10,91,4262,3626,298,338,5005,3325,4860,3275,10600,6715,3720,3120,6240,6215,14215,10595,10470,26085,4.44,1,488,476,17,4585,4415,7825,2945,2880,4510,2235,2105,135,,,,,,,,,,,,,,,0.679709
1994,,,2,902,787,21,11,98,5028,4195,435,398,5575,3705,5330,3650,13485,7755,4045,3290,6725,6690,18500,12105,11865,35365,4.43,1,518,506,18,4940,4740,8865,3190,3120,4970,2560,2400,160,,,,,,,,,,,,,,,0.694281
1995,,,2,945,821,24,13,105,5825,4769,597,459,6165,4025,5810,3995,16295,9125,4390,3440,7435,7300,20650,13540,13140,42495,4.43,1,545,532,20,5445,5180,10445,3565,3455,5310,2965,2755,210,35065,0.36,0.53,0.51,60047.4,0.1,0.09,0.04,25700,18960,42960,25565,34620,34320,0.707602
1996,,,2,989,857,27,15,110,6764,5439,791,535,6835,4410,6345,4375,19020,11090,4860,3765,8270,8065,24365,14735,14270,49210,4.46,1,566,552,22,6085,5740,12570,3995,3895,6545,3445,3165,275,35210,0.38,0.53,0.5,60818.9,0.11,0.09,0.04,25610,19395,42630,25455,32205,32770,0.724261
1997,,,2,1048,908,30,18,115,7898,6246,1026,626,7535,4920,6880,4870,21435,13310,5430,4050,9260,9000,28435,16090,15090,56085,4.51,1,590,574,25,6690,6245,14715,4360,4255,7970,3950,3585,365,36115,0.38,0.52,0.49,61531.2,0.11,0.09,0.04,26205,20040,41760,25995,34620,39715,0.732323
