full_sample,sel_index,typen,fy,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
,,5,2003,123,35750,30500,16190,49230,41250,30750,0.225,0.307,0.399,2165,39250,42750,28500,1365,10845,6445,9725,6325,29925,13290
,,5,2004,124,36000,30250,15429,49626,41500,30500,0.221,0.313,0.403,2125,39000,44000,29250,1305,11210,6510,9885,6370,31585,13990
,,5,2005,126,35750,29750,15576,48724,41000,29000,0.224,0.311,0.41,2080,38750,43750,29000,1285,11530,6620,10155,6425,30710,15305
,,5,2006,128,37000,30750,16055,50057,42250,30500,0.223,0.309,0.401,2105,39750,45750,30250,1275,12090,6660,10545,6510,32290,15630
,,5,2007,130,36750,30750,15597,49742,42750,30000,0.226,0.309,0.41,2180,39250,47750,30500,1300,12495,6845,10830,6680,32600,17750
,,5,2008,134,38500,32000,16569,51529,43500,30000,0.233,0.315,0.405,2205,40250,50000,31500,1295,13085,7155,11310,6940,33100,19795
,,5,2009,141,36750,29750,14089,50056,41000,27250,0.264,0.344,0.439,2200,38750,50000,29250,1275,13340,7355,11500,7075,33850,20550
,,5,2010,150,35750,28250,13754,48633,40250,26500,0.273,0.342,0.448,2245,37750,49750,27000,1310,13875,7660,11900,7395,35210,21720
,,5,2011,161,35250,27250,13910,48275,39250,25250,0.273,0.35,0.457,2310,37250,49250,27250,1380,14480,8155,12460,7855,34990,22460
,,5,2012,174,35000,26750,13772,46786,39250,24750,0.265,0.362,0.463,2380,36250,49000,27250,1420,15170,8515,13040,8210,36560,23310
,,5,2013,186,34750,26500,13884,46481,39250,24750,0.257,0.361,0.468,2475,35750,48750,26750,1460,15975,8905,13755,8515,37390,23040
,,5,2014,199,35000,26750,13676,47368,37750,24250,0.25,0.366,0.469,2610,36500,48250,26250,1510,17185,9485,14795,9025,39330,24800
,,6,1999,2647,54000,42500,25128,64181,69500,51250,0.102,0.135,0.192,4205,31500,44750,38000,3100,19240,11050,11880,8435,31335,19875
,,6,2000,2733,55750,43750,26013,66087,73250,53750,0.098,0.129,0.183,4260,33750,49000,41250,3050,20780,12180,12675,9200,33580,21260
,,6,2001,2786,56750,45000,26710,68188,72250,54750,0.103,0.126,0.178,4420,37250,52750,44000,3095,22665,13350,13665,10165,36665,23010
,,6,2002,2883,54500,44250,25815,66754,70250,53500,0.111,0.135,0.19,4425,36000,51750,43500,3040,23900,13970,14260,10650,38460,23860
,,6,2003,3008,54250,44000,25200,66641,69500,53000,0.116,0.14,0.197,4345,36500,52500,44000,2955,24875,14450,14760,11090,39680,24465
,,6,2004,3171,54000,43750,25072,66639,69750,53000,0.115,0.139,0.197,4295,36500,53000,44750,2885,25775,14985,15130,11500,40660,25460
,,6,2005,3388,53500,43000,24636,66095,70000,52500,0.112,0.14,0.2,4285,36500,53250,45250,2835,26970,15825,15535,12015,42145,27155
,,6,2006,3624,54750,43750,25053,67426,71500,53250,0.11,0.141,0.199,4335,37500,55500,46250,2855,28105,16670,16025,12630,43200,28535
,,6,2007,3794,56000,44500,25660,68320,73250,54250,0.111,0.139,0.195,4380,38750,57500,46500,2890,28290,16745,16135,12745,42995,28765
,,6,2008,4001,58000,46250,26586,71096,75000,56000,0.115,0.138,0.193,4465,39500,60250,47750,2925,29270,17200,16570,13060,44205,29705
,,6,2009,4302,56250,45000,24849,69726,72000,53500,0.131,0.151,0.211,4565,38250,58500,45500,2940,29745,17190,16590,12965,45020,30200
,,6,2010,4604,56000,44250,24014,69395,72250,53000,0.134,0.151,0.213,4730,38000,58500,45000,2990,30690,17415,16880,13070,46590,30510
,,6,2011,4958,55750,43500,23705,68750,71750,52000,0.135,0.155,0.22,4915,37250,58500,44500,3075,31600,17695,17240,13095,47940,30740
,,6,2012,5351,55750,43000,23546,68635,72000,51500,0.132,0.157,0.224,5120,37000,58750,44250,3185,32850,18335,17820,13215,49940,31515
,,6,2013,5739,55500,42750,23366,68522,71750,50750,0.13,0.16,0.227,5330,37500,58750,43250,3310,34255,19060,18535,13530,52165,32345
,,6,2014,6161,55500,43000,23516,68538,68500,48500,0.139,0.177,0.243,5520,38250,59250,42500,3430,35790,19845,19415,14060,54685,33275
