fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
2014,,4,,9479,8448,172,1554,958,270309,165739,81462,23030,28515,17100,19620,14815,47220,30160,24030,13455,34400,27430,59750,64410,42845,111490,4.83,3,5793,5669,1281,29725,20050,45685,17940,14650,29125,172180,113675,58505,64595,0.82,0.59,0.37,61738.5,0.12,0.08,0.03,52670,19130,62885,52770,52430,35500,1
1970,,5,,51,51,0,1,0,61,61,1,0,1200,890,1190,890,1220,1335,,,1335,1335,1335,2135,2005,1500,5.9,1,0,0,0,1450,1355,1330,880,880,1330,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,5,,86,86,0,2,0,135,133,2,0,1565,1335,1540,1335,1365,1335,,,2005,1930,1335,2670,2670,2135,5.84,1,4,4,0,1185,1165,1120,875,875,1120,5,5,0,,,,,,,,,,,,,,,0.217343
1972,,5,,120,120,0,3,0,213,209,4,0,1780,1335,1750,1335,1390,1335,,,2450,2345,1335,3115,3115,2135,5.93,1,13,13,0,1235,1215,1120,885,880,1270,15,15,0,,,,,,,,,,,,,,,0.224633
1973,,5,,152,152,0,5,0,296,289,8,0,1950,1440,1900,1335,1520,1335,,,2670,2670,1780,3565,3560,2670,5.98,1,26,26,0,1485,1465,1230,1195,1195,1180,40,40,0,,,,,,,,,,,,,,,0.24199
1974,,5,,185,185,0,7,0,390,377,13,0,2105,1740,2035,1620,1750,1335,,,2670,2670,2225,4005,3960,3195,6.17,2,45,45,1,1690,1655,1280,1310,1295,1145,75,75,0,,,,,,,,,,,,,,,0.269745
1975,,5,,219,219,0,10,0,491,472,19,0,2240,1780,2155,1780,1880,1335,,,2850,2670,2225,4295,4005,3560,6.35,2,64,64,2,1870,1815,1510,1530,1460,1235,120,115,5,,,,,,,,,,,,,,,0.287627
1976,,5,,256,255,0,14,0,604,575,29,0,2365,1780,2255,1780,1985,1765,,,3115,2900,2225,4540,4360,3960,6.39,2,79,79,3,1995,1930,1645,1615,1575,1190,160,155,5,,,,,,,,,,,,,,,0.302189
1977,,5,,318,318,0,20,0,801,753,48,0,2515,2005,2370,1855,2335,1780,,,3320,3115,2895,4895,4480,4450,6.41,2,101,101,5,2105,2025,1800,1690,1615,1270,215,205,10,,,,,,,,,,,,,,,0.322139
1978,,5,,403,402,1,29,0,1085,1006,79,0,2695,2225,2505,2135,2680,2005,,,3560,3360,3560,5340,4895,5500,6.42,2,128,127,7,2210,2095,2015,1715,1685,1620,280,265,15,,,,,,,,,,,,,,,0.346492
1979,,5,,584,583,1,42,0,1663,1534,130,0,2850,2225,2630,2225,3000,2225,,,3720,3550,4375,5540,4970,6295,6.24,2,159,159,11,2335,2180,2290,1785,1715,1740,370,345,25,,,,,,,,,,,,,,,0.381639
1980,,5,,898,897,2,67,0,2727,2500,227,0,3035,2225,2790,2225,3305,2250,,,4270,3885,4450,5785,5000,6675,5.94,2,202,201,16,2485,2290,2525,1950,1825,1790,500,460,40,,,,,,,,,,,,,,,0.42186
1981,,5,,1293,1285,2,102,6,4483,4040,426,17,3470,2500,3145,2225,4105,3910,3060,2640,4450,4450,4450,6675,5785,8900,5.75,2,271,270,26,2720,2455,2825,2120,2005,2065,735,660,75,,,,,,,,,,,,,,,0.452594
1982,,5,,1510,1493,3,123,13,5679,5041,596,42,3760,2975,3375,2660,4740,4335,3150,2620,4535,4450,6660,6675,6495,8900,5.74,2,385,384,41,2975,2650,3115,2175,2135,2235,1145,1015,130,,,,,,,,,,,,,,,0.474364
1983,,5,,1704,1671,5,147,28,6882,5981,810,91,4040,3340,3580,2965,5310,4450,3315,2625,5260,4450,7840,7555,6675,11515,5.72,2,534,532,59,3290,2910,3545,2525,2220,2835,1755,1550,210,,,,,,,,,,,,,,,0.491878
1984,,5,,1943,1893,8,176,43,8210,6977,1084,149,4225,3420,3685,3060,5890,4450,3475,2600,5565,4795,8585,8230,6695,13350,5.69,2,699,696,77,3600,3165,4070,2910,2590,3240,2520,2205,315,,,,,,,,,,,,,,,0.509814
1985,,5,,2182,2112,10,209,61,9617,7985,1411,222,4405,3545,3780,3195,6430,4450,3650,2595,5835,5000,8900,8590,7210,13350,5.65,3,869,863,96,3830,3345,4590,3190,2820,3425,3330,2890,440,,,,,,,,,,,,,,,0.528431
1986,,5,,2371,2284,13,238,74,10704,8728,1703,273,4515,3560,3820,3200,6790,4450,3675,2535,5955,5135,9025,8785,7410,14635,5.63,3,1051,1044,121,4005,3435,5170,3195,2825,3680,4210,3585,625,,,,,,,,,,,,,,,0.536539
1987,,5,,2523,2419,17,264,87,11851,9416,2115,321,4700,3575,3890,3225,7505,5510,3695,2520,6170,5340,10670,8900,7705,16650,5.64,3,1204,1195,147,4170,3500,5705,3200,2820,3960,5020,4185,835,,,,,,,,,,,,,,,0.556903
1988,,5,,2668,2536,23,291,111,13117,10088,2609,421,4915,3560,3980,3235,8310,6375,3790,3050,6330,5495,11795,9580,7975,18810,5.64,3,1344,1331,175,4330,3550,6270,3215,2820,4210,5820,4725,1095,,,,,,,,,,,,,,,0.580705
1989,,5,,2821,2651,28,318,143,14431,10730,3137,564,5115,3560,4045,3225,9040,6675,3935,3265,6490,5575,12850,10200,8165,20360,5.62,3,1470,1453,198,4480,3595,6905,3210,2810,4565,6590,5220,1370,,,,,,,,,,,,,,,0.60299
1990,,5,,2971,2757,38,343,179,16045,11540,3775,731,5400,3580,4185,3240,9925,7125,4080,3300,6765,5740,13850,11010,8670,22570,5.61,3,1560,1536,225,4690,3645,7660,3190,2790,5000,7320,5600,1720,,,,,,,,,,,,,,,0.631967
1991,,5,,3087,2824,49,362,216,17866,12466,4467,932,5790,3805,4415,3385,10875,7500,4315,3315,7205,6080,15000,12015,9190,24930,5.61,3,1594,1561,246,5030,3785,8605,3280,2820,5510,8020,5910,2115,,,,,,,,,,,,,,,0.648323
1992,,5,,3185,2869,61,375,259,19890,13540,5180,1171,6245,4000,4720,3635,11865,8015,4520,3340,7865,6560,16805,12925,9990,27520,5.64,3,1591,1548,263,5510,4025,9640,3520,2980,5995,8760,6230,2530,,,,,,,,,,,,,,,0.665147
1993,,5,,3305,2943,76,384,291,22801,15308,6026,1466,6900,4530,5200,3985,13110,9220,5030,3615,8730,7275,18595,14360,10855,29945,5.66,3,1572,1519,280,6160,4390,10785,3805,3250,6905,9685,6665,3020,,,,,,,,,,,,,,,0.679709
1994,,5,,3492,3080,90,402,327,27539,18191,7315,2033,7885,5255,5905,4600,14875,10505,6215,4040,10055,8315,20705,16385,12315,35350,5.65,3,1586,1522,299,6835,4780,11910,4200,3510,7530,10845,7280,3565,,,,,,,,,,,,,,,0.694281
1995,,5,,3661,3198,105,424,365,33009,21402,8881,2727,9015,5960,6690,5250,16805,12020,7480,4765,11490,9520,23270,18980,14240,38115,5.63,3,1595,1521,313,7710,5320,13440,4810,3915,8645,12300,8090,4210,63870,0.82,0.54,0.29,63390.4,0.14,0.09,0.04,55700,15445,65530,55710,28085,55510,0.707602
1996,,5,,3880,3367,118,449,403,39314,25081,10684,3550,10130,6335,7450,5745,18825,13470,8805,5430,12780,10675,26160,21525,15940,42950,5.64,4,1645,1563,331,8795,6050,15160,5380,4515,9870,14475,9455,5020,65400,0.84,0.54,0.28,64910.4,0.12,0.08,0.03,57570,16200,66675,57575,38225,57335,0.724261
1997,,5,,4084,3524,128,481,442,46153,28966,12723,4464,11300,7175,8220,6125,20905,15000,10105,6240,14390,11625,29775,24025,17125,48965,5.64,4,1714,1625,354,10070,6900,17105,6240,5050,11065,17265,11210,6055,66365,0.85,0.54,0.28,64535.4,0.12,0.08,0.03,58345,16890,67070,58330,37325,61465,0.732323
1998,,5,,4351,3764,127,538,469,52960,32678,14942,5339,12175,7770,8680,6495,22450,15000,11375,7025,15290,12530,31530,26555,18130,54560,5.66,4,1860,1772,390,11985,8045,20560,7335,5820,13040,22290,14260,8030,67985,0.85,0.55,0.28,66413.2,0.11,0.08,0.03,59915,17455,68305,59920,44000,55755,0.738253
1999,,5,,4556,3937,134,582,496,60264,36579,17483,6202,13225,8390,9290,7010,24430,16500,12490,7720,16470,13555,34000,29195,19330,58865,5.67,4,1960,1867,426,13480,8955,22805,8320,6595,14625,26420,16715,9705,69505,0.86,0.55,0.28,67189.6,0.09,0.07,0.03,61250,17530,69285,61255,50930,55535,0.753413
2000,,5,,4714,4055,142,620,529,67310,40071,20122,7117,14280,8925,9885,7660,26410,17665,13460,8225,17200,14375,36915,31810,20355,61075,5.68,4,2029,1930,457,15035,9860,25085,9495,7495,16065,30510,19035,11475,70990,0.86,0.55,0.28,67379.5,0.09,0.07,0.03,62560,17905,70420,62535,54045,60280,0.77168
2001,,5,,4858,4172,146,656,553,74292,43559,22797,7937,15290,9510,10440,8240,28435,18640,14350,8780,18070,14840,38620,34150,21375,64970,5.69,4,2093,1991,484,16565,10695,27605,10465,8290,17535,34670,21295,13375,72850,0.87,0.55,0.28,67675.6,0.09,0.07,0.03,63890,18275,71440,63855,56475,57840,0.779909
2002,,5,,5052,4334,147,716,588,81848,47232,25714,8902,16200,10035,10900,8670,29815,18945,15150,9130,18930,15355,39970,36325,22210,68530,5.7,4,2185,2086,520,17960,11375,29845,11200,8905,18700,39250,23730,15515,74545,0.87,0.55,0.28,67987.4,0.09,0.07,0.03,65225,18735,72725,65195,59325,57225,0.796383
2003,,5,,5279,4523,143,794,633,90657,51332,28985,10339,17170,10575,11350,8905,30950,19550,16335,9510,19985,15875,41300,38790,22975,70750,5.69,4,2295,2206,558,19230,11985,31745,11865,9480,19800,44145,26440,17700,75835,0.88,0.55,0.28,68044.7,0.09,0.07,0.03,66140,18970,73500,66100,61905,57895,0.811654
2004,,5,,5537,4734,144,877,682,100920,55823,32865,12232,18225,11165,11790,9255,32180,21000,17930,10110,21245,16435,42765,41675,23850,73035,5.66,4,2429,2344,612,20610,12590,33550,12655,10085,21235,50060,29515,20545,76950,0.88,0.55,0.27,68308.9,0.09,0.07,0.03,66895,19190,74200,66855,64295,57250,0.834702
2005,,5,,5782,4944,126,974,741,111526,60742,37177,13606,19290,11750,12285,9805,33785,22570,18365,10565,22530,16985,45010,44630,24915,76245,5.64,4,2611,2535,681,22195,13265,35720,13710,10820,23105,57950,33625,24325,78005,0.88,0.55,0.27,68473.1,0.09,0.07,0.03,67705,19240,74890,67700,65840,55080,0.858669
2006,,5,,6000,5169,113,1075,756,123495,66165,41981,15348,20580,12570,12800,10360,35325,24205,20315,11845,24105,17375,47160,48130,25950,78900,5.62,4,2797,2729,761,23625,13895,37015,14570,11500,24810,66095,37910,28185,78890,0.89,0.55,0.27,68631.4,0.09,0.07,0.03,68510,19190,75480,68510,66905,54065,0.876992
2007,,5,,6196,5349,115,1164,773,136265,70983,48137,17145,21995,13300,13270,10790,37625,25830,22185,12905,25605,17800,50060,51690,26800,85670,5.6,4,2915,2851,814,24640,14380,37890,15090,11895,25555,71835,41000,30835,79755,0.89,0.55,0.27,68774.7,0.09,0.07,0.03,69270,19095,76075,69250,68035,52735,0.906824
2008,,5,,6430,5554,127,1252,792,150241,76362,55200,18678,23365,13790,13750,11185,40015,27175,23570,13580,26885,18105,52865,55065,27475,92675,5.56,4,3067,2999,881,25620,14720,39050,15485,12110,26480,78565,44150,34415,80895,0.89,0.55,0.27,68963,0.09,0.07,0.03,70010,19115,76645,69970,68845,52600,0.910217
2009,,5,,6776,5834,147,1354,843,167081,83305,63420,20345,24660,14460,14280,11800,42250,28055,24140,13650,28000,18730,54920,57705,28215,99770,5.5,4,3293,3214,972,26555,14915,40645,15705,12160,27535,87455,47930,39525,82460,0.9,0.55,0.26,69230,0.09,0.07,0.03,70910,19150,77465,70855,69710,50745,0.929017
2010,,5,,7110,6102,168,1453,894,185595,90760,72490,22317,26105,15285,14875,12280,44730,29255,24965,14220,29495,19745,57410,60680,29315,107310,5.44,4,3524,3433,1062,27720,15195,42860,15955,12255,28520,97675,52175,45500,83165,0.9,0.55,0.26,69495.3,0.09,0.07,0.03,71215,19085,77750,71150,70490,48490,0.941916
2011,,5,,7419,6357,185,1543,936,205944,98917,82295,24690,27760,16060,15560,12610,47635,30540,26375,15235,31375,20945,60830,64150,30905,115555,5.35,4,3788,3682,1165,29325,15760,45535,16520,12455,29725,111070,58030,53040,83595,0.9,0.56,0.26,69707.2,0.09,0.07,0.03,71235,18945,77750,71155,71200,45535,0.965479
2012,,5,,7637,6557,195,1615,947,225394,106395,92070,26884,29515,16570,16225,12885,50875,31855,28375,16240,33305,22135,64730,67945,32565,125660,5.25,3,4081,3960,1273,30980,16380,48390,17275,12655,30825,126425,64850,61580,83705,0.9,0.56,0.26,69786.3,0.09,0.07,0.03,71075,18795,77600,71005,71625,43360,0.980216
2013,,5,,7795,6705,208,1667,945,242789,112977,100929,28839,31150,17165,16850,13210,53825,33120,30520,17050,34865,23250,68330,71720,33995,133490,5.12,3,4367,4227,1376,32745,17085,51450,18120,12955,32205,143005,72220,70785,83800,0.9,0.56,0.26,69822.7,0.09,0.07,0.03,70910,18590,77335,70810,71845,42075,0.992323
2014,,5,,7951,6846,221,1713,949,259666,118992,109789,30845,32660,17765,17380,13495,56755,34370,32490,17650,36290,24015,72170,75875,35380,141550,4.95,3,4670,4516,1470,34440,17820,54680,18945,13380,33400,160845,80475,80370,84080,0.9,0.56,0.26,69890.4,0.09,0.07,0.03,70775,18350,77205,70680,71880,39640,1
1970,,6,,11,0,11,0,0,16,0,16,0,1505,1335,,,1505,1335,,,1335,,1335,2670,,2670,4.36,1,0,0,0,1160,,1160,1290,,1290,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,6,,19,0,19,0,0,35,0,34,0,1785,1335,1055,1225,1770,1335,,,2670,1335,2670,2670,1335,2670,4.46,1,1,0,1,1240,,1240,1195,,1195,0,0,0,,,,,,,,,,,,,,,0.217343
1972,,6,,28,1,28,1,0,55,1,54,0,1935,1335,1260,1335,1895,1335,,,2670,1335,2670,3560,2005,3560,4.61,1,5,0,5,1380,950,1365,1260,880,1255,5,0,5,,,,,,,,,,,,,,,0.224633
1973,,6,,39,2,37,2,0,83,2,81,0,2150,1515,1455,1335,2090,1335,,,2670,1420,2670,4005,2685,4005,4.57,1,9,0,9,1610,980,1595,1275,885,1265,15,0,15,,,,,,,,,,,,,,,0.24199
1974,,6,,50,2,48,2,0,118,4,114,0,2350,1860,1615,1335,2270,1780,,,3115,2225,2850,4450,2700,4440,4.76,1,16,0,16,1890,1115,1865,1305,1145,1290,30,0,30,,,,,,,,,,,,,,,0.269745
1975,,6,,63,4,59,4,0,157,6,151,0,2510,2080,1740,1335,2410,1860,,,3390,2225,3170,4895,3125,4475,4.69,1,22,1,22,2115,1355,2075,1680,1170,1600,45,0,45,,,,,,,,,,,,,,,0.287627
1976,,6,,80,6,74,6,0,210,11,199,0,2630,2180,1840,1740,2495,1955,,,3560,2225,3245,5325,3380,4895,4.77,1,29,1,29,2225,1350,2185,1805,1075,1730,65,0,65,,,,,,,,,,,,,,,0.302189
1977,,6,,103,9,95,9,0,305,18,287,0,2960,2225,2120,1780,2780,2225,,,4005,2595,3730,5830,3720,5550,4.89,1,37,1,37,2320,1580,2265,1790,1260,1735,85,0,85,,,,,,,,,,,,,,,0.322139
1978,,6,,139,13,126,13,0,464,31,433,0,3345,2525,2390,1905,3125,2225,,,4450,3165,4390,6675,4450,6675,4.86,1,49,2,49,2550,1835,2470,1935,1535,1835,125,5,120,,,,,,,,,,,,,,,0.346492
1979,,6,,200,18,182,18,0,761,47,714,0,3800,3115,2550,2225,3565,2670,,,4450,3435,4450,7975,4450,7405,4.73,2,64,4,64,2755,1960,2650,2025,1645,1975,175,5,170,,,,,,,,,,,,,,,0.381639
1980,,6,,307,29,278,28,0,1311,76,1235,0,4270,3990,2655,2225,4025,3515,,,5000,3560,4450,8900,4615,8900,4.51,1,84,6,84,3105,2310,2935,2210,1965,2095,260,15,245,,,,,,,,,,,,,,,0.42186
1981,,6,,453,41,412,40,0,2268,116,2152,0,5010,4450,2850,2225,4755,4450,,,6675,3995,6230,8900,4720,8900,4.21,1,119,10,118,3495,2345,3305,2745,1995,2450,415,25,390,,,,,,,,,,,,,,,0.452594
1982,,6,,534,51,483,50,0,2976,147,2829,0,5575,4450,2890,2225,5305,4450,4575,2715,8170,4005,7865,11125,5165,10850,4.19,1,179,16,179,4030,2490,3810,3460,2080,3070,720,40,680,,,,,,,,,,,,,,,0.474364
1983,,6,,609,54,555,54,0,3640,165,3474,1,5980,4450,3035,2380,5715,4450,3865,2635,8585,4285,8485,12800,5520,12685,4.17,1,258,24,258,4605,2640,4365,3935,2135,3690,1190,65,1125,,,,,,,,,,,,,,,0.491878
1984,,6,,691,57,634,56,0,4350,177,4172,1,6300,4450,3100,2500,6050,4450,3685,2590,8870,4265,8585,13350,5955,13350,4.1,1,338,31,338,5085,2715,4845,3975,2170,3855,1720,85,1640,,,,,,,,,,,,,,,0.509814
1985,,6,,765,59,706,58,1,5018,180,4835,3,6560,4450,3050,2390,6330,4450,3910,2650,8900,4170,8900,13350,5900,13350,4.06,1,418,37,417,5465,2775,5225,4085,2215,3900,2280,100,2180,,,,,,,,,,,,,,,0.528431
1986,,6,,824,61,763,59,1,5498,179,5315,3,6670,4555,2960,2300,6465,4450,3610,2590,8900,3935,8900,13970,5735,13785,3.99,1,496,41,495,5685,2765,5465,4200,2230,3965,2820,115,2705,,,,,,,,,,,,,,,0.536539
1987,,6,,869,62,806,60,1,6064,179,5881,4,6980,5000,2890,2270,6785,4650,3640,3385,9165,3710,8900,15035,5740,14985,3.95,1,568,45,567,5960,2730,5755,4225,2200,4040,3380,120,3260,76965,0,1,0.5,53186.5,0.36,0.18,0.05,76965,76965,,76965,,,0.556903
1988,,6,,918,63,854,61,2,6812,183,6621,7,7425,5155,2910,2270,7235,5000,3850,3330,9875,3710,9705,16340,5820,16075,3.92,1,625,48,624,6205,2695,6010,4210,2110,4025,3880,130,3750,51485,0,1,0.5,52036.8,0.27,0.14,0.05,60240,60240,,60240,,,0.580705
1989,,6,,962,63,898,60,3,7542,184,7347,11,7840,5355,2905,2225,7665,5105,4125,3320,10275,3650,10230,17800,5925,17600,3.89,1,667,49,666,6455,2665,6280,4200,2040,3985,4310,130,4180,55695,0,0.83,0.4,59615,0.18,0.11,0.04,60240,60240,,60240,,,0.60299
1990,,6,,1000,62,937,58,3,8418,185,8219,14,8415,5585,2970,2215,8255,5410,4190,3340,11270,3820,11125,20000,6375,19810,3.83,2,698,49,696,6740,2680,6575,4235,2000,4040,4705,130,4575,55695,0,0.83,0.4,59615,0.18,0.11,0.04,60240,60240,,60240,,,0.631967
1991,,6,,1022,59,962,54,4,9375,186,9170,19,9175,5975,3165,2265,9030,5770,4305,3325,11990,4095,11835,21975,6935,21805,3.8,2,703,46,700,7270,2870,7110,4510,2060,4265,5110,135,4980,50170,0,0.88,0.43,66020.9,0.16,0.09,0.04,51215,51215,,51215,,,0.648323
1992,,6,,1028,55,971,50,6,10413,187,10199,26,10130,6785,3400,2500,9990,6575,4640,3490,13795,4465,13665,23525,7500,23495,3.8,2,693,43,689,8030,3085,7880,4935,2305,4725,5565,135,5430,50170,0,0.88,0.43,66020.9,0.16,0.09,0.04,51215,51215,,51215,,,0.665147
1993,,6,,1026,50,973,43,7,11829,191,11601,37,11530,7500,3850,2625,11410,7500,5275,3830,16065,5165,15990,28110,8260,28000,3.76,2,672,39,668,9120,3495,8975,5375,2500,5230,6135,135,6000,50170,0,0.88,0.43,66020.9,0.16,0.09,0.04,51215,51215,,51215,,,0.679709
1994,,6,,1058,49,1005,42,8,14277,224,14001,53,13495,8670,4610,3050,13375,8500,6295,4265,18625,5975,18610,32835,9950,32640,3.7,2,668,35,663,10310,3905,10180,6215,2640,6020,6890,140,6750,50130,0,0.8,0.56,68383.3,0.15,0.09,0.04,51215,51215,,51215,,,0.694281
1995,,6,,1093,49,1038,42,10,17093,266,16749,78,15645,10200,5395,3705,15510,10020,7635,4965,21185,7450,21035,37835,11595,37810,3.63,2,675,34,669,11905,4430,11770,7200,2990,7055,8035,155,7880,32130,0.04,0.57,0.24,65926.9,0.14,0.1,0.04,19795,18650,61125,43065,19775,,0.707602
1996,,6,,1126,52,1068,43,12,20108,323,19678,107,17855,11960,6270,4300,17710,11865,9010,5900,24500,8120,24380,41770,14505,41565,3.59,2,692,36,686,13870,5245,13715,8495,3455,8310,9600,190,9410,33930,0.06,0.56,0.24,65617.6,0.13,0.09,0.04,21895,20035,64430,27770,21835,151225,0.724261
1997,,6,,1156,52,1096,44,14,23098,360,22588,150,19975,13650,6865,4680,19820,13505,10710,6675,27775,8500,27620,47805,16045,47540,3.57,2,719,37,713,16135,5925,15960,10000,3930,9925,11595,220,11375,34520,0.07,0.57,0.24,65758.6,0.13,0.09,0.04,22550,20600,59655,26255,22505,58900,0.732323
1998,,6,,1214,54,1151,46,17,26133,409,25524,199,21520,13895,7575,5075,21330,13685,12045,7450,29685,9690,29430,52985,17435,52795,3.57,2,780,40,774,19300,6910,19090,11695,4470,11490,15045,275,14775,34865,0.08,0.57,0.24,67911.8,0.11,0.08,0.03,23000,21135,56465,26720,22970,66705,0.738253
1999,,6,,1233,54,1167,47,19,29194,448,28484,261,23680,15355,8235,5500,23470,15135,13740,8180,32655,10360,32365,57955,18330,57725,3.56,2,807,41,802,21845,7695,21605,13480,4990,13230,17635,315,17320,35285,0.08,0.57,0.24,67825.5,0.1,0.08,0.03,23085,21260,51000,26335,23075,68750,0.753413
2000,,6,,1242,55,1174,47,22,31840,483,31040,317,25640,16645,8845,5720,25430,16445,14545,9020,35255,11130,35070,60745,20055,60465,3.58,2,829,41,824,24145,8495,23875,15000,5475,14770,20025,350,19675,36140,0.09,0.57,0.24,67563,0.1,0.08,0.03,23600,21895,48950,26335,23585,68990,0.77168
2001,,6,,1251,55,1180,47,25,34375,522,33476,377,27485,17655,9505,5940,27280,17435,15260,9660,37390,11625,37275,64430,21400,64105,3.6,2,839,41,833,26655,9360,26370,16405,5820,16200,22350,385,21965,36905,0.09,0.57,0.24,67959.7,0.1,0.08,0.03,24080,22340,45745,26655,24060,64750,0.779909
2002,,6,,1293,57,1219,49,28,37155,565,36140,451,28730,18225,9955,5945,28520,18020,15890,9705,38305,12240,38190,67625,22830,67340,3.59,2,857,42,851,28520,9995,28225,17415,5975,17130,24435,420,24020,38260,0.1,0.57,0.24,68395.6,0.1,0.08,0.03,24985,23040,44255,26215,24960,64155,0.796383
2003,,6,,1358,59,1278,50,33,40489,605,39336,548,29810,18690,10220,6230,29615,18585,16740,9700,38885,12495,38675,70245,23325,70040,3.58,2,884,44,878,30230,10225,29925,18515,6130,18180,26715,450,26265,39080,0.1,0.57,0.23,68597.2,0.1,0.08,0.03,25515,23475,43510,24665,25495,65780,0.811654
2004,,6,,1422,61,1335,53,40,44652,653,43297,703,31400,19730,10630,6445,31180,19425,17775,10240,40970,13220,40675,73255,24205,73040,3.58,2,917,46,912,32105,10635,31775,19850,6325,19455,29455,490,28965,39995,0.11,0.58,0.23,68678.9,0.1,0.08,0.03,26050,23850,43705,23275,26010,65725,0.834702
2005,,6,,1491,63,1399,55,45,49741,709,48150,883,33360,21315,11225,6810,33115,20965,19455,12115,44605,14190,44375,77000,25460,76925,3.59,2,982,48,976,34525,11065,34190,21875,6405,21425,33905,525,33380,40555,0.11,0.58,0.23,68557.9,0.1,0.08,0.03,26440,24070,43940,23200,26390,68675,0.858669
2006,,6,,1548,66,1452,57,50,55177,788,53326,1063,35650,23805,12020,7055,35350,23365,21320,13345,47510,14980,47375,82155,27315,82000,3.59,2,1044,50,1038,36690,12005,36335,24205,6800,23820,38310,600,37710,41415,0.12,0.58,0.23,68471.6,0.1,0.08,0.03,27090,24340,45695,22305,27005,66070,0.876992
2007,,6,,1617,67,1517,58,54,61451,849,59355,1247,38000,25460,12660,7445,37675,25105,23155,14440,50695,15765,50410,88135,28695,87910,3.57,2,1079,52,1072,38130,12510,37765,25550,6865,25215,41125,645,40480,42135,0.13,0.58,0.22,68525.6,0.1,0.08,0.03,27470,24470,46975,22825,27395,68400,0.906824
2008,,6,,1692,69,1587,60,59,68179,905,65850,1425,40290,26790,13120,7725,39985,26465,24235,14360,53250,16120,52955,94430,30245,94310,3.57,2,1125,53,1118,39600,12940,39230,26690,7205,26295,44555,690,43865,42840,0.14,0.58,0.22,68584.4,0.1,0.08,0.03,27900,24630,47630,23735,27840,68400,0.910217
2009,,6,,1802,72,1690,62,65,75861,996,73288,1573,42100,27465,13850,7915,41850,27120,24225,14680,54895,16910,54635,100290,31805,100410,3.55,2,1199,55,1191,41350,13810,40975,27660,7350,27265,49575,765,48810,44000,0.15,0.58,0.22,68677.5,0.1,0.08,0.03,28340,24765,49210,23735,28260,67935,0.929017
2010,,6,,1900,75,1781,64,71,84256,1091,81364,1791,44350,28345,14535,8335,44110,28045,25190,15240,57190,17460,56920,107245,33635,107390,3.53,2,1266,58,1258,43435,14560,43055,28415,7600,28010,54985,840,54145,44665,0.16,0.58,0.22,68702.6,0.1,0.08,0.03,28510,24730,49960,24400,28425,67345,0.941916
2011,,6,,1982,77,1858,66,76,93345,1196,90095,2038,47095,29590,15485,9075,46835,29250,26725,16110,60620,18700,60300,115155,35485,115285,3.49,2,1344,60,1335,45715,15510,45330,29125,8305,28805,61430,925,60505,45165,0.17,0.58,0.22,68694,0.1,0.08,0.03,28700,24590,51150,24570,28605,68150,0.965479
2012,,6,,2023,79,1897,67,79,101454,1276,97850,2309,50160,31050,16125,9375,49840,30610,29325,17340,64180,19480,63750,124470,36845,124530,3.45,2,1423,62,1413,48105,16080,47735,29965,8755,29610,68465,1000,67465,45610,0.18,0.59,0.22,68617.6,0.1,0.08,0.03,28895,24555,51860,24280,28795,67580,0.980216
2013,,6,,2033,80,1906,67,81,108231,1359,104303,2551,53230,32085,16990,9745,52860,31805,31625,17720,68150,20300,67510,133355,39895,133240,3.4,2,1490,65,1480,50745,17030,50360,30860,9125,30430,75610,1100,74510,45900,0.18,0.59,0.22,68430.7,0.11,0.08,0.03,29095,24555,51935,24570,28985,67390,0.992323
2014,,6,,2041,81,1912,68,83,114709,1448,110416,2829,56205,33155,17860,10175,55775,32665,34010,18755,71875,21305,71160,141895,41905,141830,3.33,2,1548,68,1537,53735,18020,53335,31885,9570,31430,83190,1220,81970,46220,0.19,0.59,0.22,68304.3,0.11,0.08,0.03,29235,24475,52250,25555,29135,67390,1
1970,,,1,6,6,0,0,0,7,6,1,0,1140,890,1100,890,1590,1335,,,1335,1335,1335,1780,1780,1335,4.2,0,0,0,0,955,925,1295,875,860,1295,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,,1,13,13,1,0,0,16,15,1,0,1260,1085,1235,1070,1520,1335,,,1335,1335,1335,2225,2180,2670,4.46,0,1,1,0,1095,1000,2040,865,865,1015,0,0,0,,,,,,,,,,,,,,,0.217343
