fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
2003,,3,,3606,3319,51,317,255,48723,36130,9780,2814,13510,7720,10885,7130,26600,16115,11015,6475,16755,14935,33810,31080,24915,63240,5.81,4,1719,1688,207,14115,10980,27630,7790,7075,15425,24265,18535,5730,45890,0.65,0.59,0.45,54885.7,0.15,0.11,0.04,34420,18865,48205,34400,33220,41365,0.811654
2004,,3,,3845,3536,51,358,281,55125,40319,11369,3437,14340,8180,11405,7550,27775,17465,12230,6940,17745,15750,35135,33215,26115,65460,5.75,4,1829,1800,228,15045,11590,29180,8360,7495,16735,27520,20855,6665,46370,0.66,0.59,0.44,54873.3,0.15,0.11,0.04,34705,18910,48505,34690,33945,42765,0.834702
2005,,3,,4075,3739,49,400,313,61778,44911,13125,3742,15160,8710,12010,8030,29265,18660,11940,7070,18825,16570,37315,35165,27660,67435,5.7,4,1970,1941,259,16070,12250,30355,9065,8035,17665,31660,23785,7875,46875,0.66,0.6,0.44,54898.1,0.15,0.11,0.04,35090,18905,48695,35065,34555,41980,0.858669
2006,,3,,4292,3943,46,447,334,69590,50126,15071,4393,16215,9340,12710,8560,30590,19505,13165,7655,20175,17490,38790,37915,29335,69970,5.64,4,2127,2100,293,17195,13000,31675,9865,8700,19125,36575,27300,9280,47235,0.67,0.6,0.44,54915,0.15,0.11,0.04,35335,18875,48635,35310,35210,41225,0.876992
2007,,3,,4502,4140,47,494,349,78009,55566,17422,5022,17330,10085,13425,9130,32205,20840,14370,8340,21525,18440,41015,40555,30980,73710,5.58,4,2268,2242,322,18190,13700,32700,10535,9325,20260,41255,30715,10540,47675,0.68,0.6,0.44,54985.7,0.15,0.11,0.04,35540,18800,48640,35525,35685,40675,0.906824
2008,,3,,4730,4350,53,542,366,87607,61685,20288,5632,18520,10850,14180,9890,34105,22205,15405,9000,22810,19390,43430,43230,32465,78310,5.52,4,2415,2387,353,19130,14325,34055,11120,9830,21320,46205,34185,12020,48310,0.68,0.6,0.44,55091.4,0.15,0.11,0.04,35930,18875,48795,35895,36100,40310,0.910217
2009,,3,,5055,4644,62,598,393,99663,69640,23691,6322,19715,11675,14995,10610,35935,23570,16085,9220,24110,20380,45850,45755,34240,83805,5.44,4,2623,2589,397,19965,14825,35265,11545,10155,22500,52375,38380,13990,48885,0.69,0.6,0.43,55338.1,0.15,0.11,0.04,36165,18880,48960,36140,36540,39360,0.929017
2010,,3,,5391,4941,69,654,432,112995,78377,27355,7243,20960,12445,15865,11250,37830,24855,16750,9385,25730,21690,48360,48540,36220,88395,5.34,4,2838,2797,443,21095,15550,36950,12175,10640,23440,59860,43500,16360,49035,0.69,0.6,0.43,55475.9,0.15,0.11,0.04,36020,18740,48795,36015,37140,37580,0.941916
2011,,3,,5756,5258,78,711,482,128909,88631,31744,8504,22395,13240,16855,11920,40255,26460,17655,10010,27625,23295,51570,51800,38530,94265,5.21,3,3117,3070,496,22535,16540,39230,12960,11265,24830,70245,50770,19470,48970,0.69,0.6,0.43,55591,0.15,0.11,0.04,35740,18480,48270,35755,37230,33415,0.965479
2012,,3,,6049,5532,83,762,499,144721,98636,36368,9682,23925,14150,17830,12560,43035,28190,19420,11010,29715,24810,55230,55345,40940,101110,5.07,3,3468,3414,558,23940,17515,41660,13645,11825,26655,83040,59790,23250,48770,0.69,0.6,0.43,55659.7,0.15,0.11,0.04,35380,18240,47675,35385,37250,32895,0.980216
2013,,3,,6278,5752,89,807,506,159600,108019,40864,10681,25420,14840,18780,13185,45635,29880,21095,11650,31705,26305,58370,58825,43350,107435,4.92,3,3839,3778,622,25470,18580,44365,14475,12495,28575,97795,70185,27605,48675,0.7,0.6,0.43,55734.7,0.15,0.11,0.04,35105,18060,47060,35105,37510,32175,0.992323
2014,,3,,6497,5961,94,854,516,174504,117331,45421,11720,26855,15430,19680,13715,47905,31280,22735,12300,33450,27720,60895,62350,45875,112210,4.75,3,4259,4190,694,27130,19780,47085,15375,13265,30410,115540,82880,32660,48635,0.7,0.6,0.43,55760.2,0.15,0.11,0.04,34930,17840,46640,34920,37510,31440,1
1970,,4,,53,53,0,0,0,63,63,0,0,1190,890,1180,890,1265,1335,,,1335,1335,1335,2125,2005,1780,5.15,1,1,1,0,945,945,,875,875,,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,4,,91,91,0,1,0,139,138,1,0,1535,1335,1520,1335,1265,1335,,,1780,1780,1335,2670,2670,1500,5.44,1,4,4,0,1120,1105,920,865,865,1135,5,5,0,,,,,,,,,,,,,,,0.217343
