fy,full_sample,sel_index,typen,new_borrowers,new_undergrad_bor,new_grad_bor,new_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,cpi_adj,age,mn_fam_inc,dependent,female,first_gen,median_hh_inc,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc
2006,,,3,316,309,0,7,1164,1126,1,37,3680,2625,3640,2625,3600,3100,5555,4520,2.89,2,0.876992,22,41870,0.55,0.61,0.49,55449.7,0.11,0.09,0.04,31685,17450,50185,31670,40245,36175
2007,,,3,320,314,0,5,1298,1269,0,28,4060,3500,4035,3500,1310,1310,5440,4000,2.67,2,0.906824,22,42165,0.56,0.6,0.49,55320.1,0.11,0.09,0.04,31870,18020,50310,31860,0,48780
2008,,,3,350,346,0,4,1635,1613,0,22,4675,3500,4665,3500,2720,1750,5420,5000,2.37,2,0.910217,22,42135,0.55,0.58,0.48,55570.6,0.12,0.09,0.04,30560,16075,50265,30560,29290,35980
2009,,,3,463,459,0,4,2485,2462,0,23,5365,4500,5360,4500,2875,2875,6120,4930,2,2,0.929017,22,42620,0.53,0.56,0.51,56135.9,0.12,0.09,0.04,30010,16290,51830,30010,51110,35965
2010,,,3,502,498,0,4,2776,2749,1,26,5530,4600,5520,4595,5615,5500,6515,5090,1.59,1,0.941916,24,38325,0.49,0.55,0.51,55539.4,0.12,0.09,0.04,25770,14470,48265,25785,17035,22470
2011,,,3,564,559,0,6,3141,3104,3,34,5565,4650,5555,4630,6490,5000,5920,4990,1.24,1,0.965479,23,36735,0.5,0.56,0.51,55673.2,0.13,0.1,0.04,23895,13170,43800,23890,20370,31630
2012,,,3,546,544,0,3,2966,2947,1,19,5430,4500,5420,4500,4630,3500,7465,5500,0.83,1,0.980216,23,35665,0.51,0.56,0.49,55735.4,0.14,0.1,0.04,23545,11680,43230,23560,20740,8655
2013,,,3,486,483,0,2,2589,2573,0,16,5330,4500,5320,4500,3745,4125,6670,5580,0.41,0,0.992323,22,36865,0.54,0.54,0.47,55914.6,0.14,0.1,0.04,24150,11315,42975,24150,40845,7960
2014,,,3,408,405,0,2,2209,2192,0,17,5420,4750,5410,4750,3250,2000,6900,5355,0,0,1,22,39030,0.57,0.54,0.46,56202.7,0.14,0.1,0.04,25875,12130,44995,25875,9110,25865
1970,,,4,106,101,5,0,127,118,9,0,1195,890,1170,890,1420,1335,,,5.25,1,0.209694,,,,,,,,,,,,,,,
1971,,,4,76,72,5,0,102,94,8,0,1335,1155,1315,1075,1460,1335,,,5.3,1,0.217343,,,,,,,,,,,,,,,
1972,,,4,64,60,4,0,90,83,7,0,1405,1335,1380,1335,1485,1335,,,5.72,1,0.224633,,,,,,,,,,,,,,,
1973,,,4,59,55,4,0,87,80,7,0,1465,1335,1440,1335,1630,1335,,,6.12,1,0.24199,,,,,,,,,,,,,,,
1974,,,4,62,58,5,0,105,94,10,0,1675,1335,1635,1335,1855,1335,,,6.19,2,0.269745,,,,,,,,,,,,,,,
1975,,,4,68,62,7,0,116,102,14,0,1705,1335,1650,1335,1890,1780,,,6.06,2,0.287627,,,,,,,,,,,,,,,
1976,,,4,74,66,8,0,131,113,18,0,1760,1335,1705,1335,1945,1780,,,6.17,2,0.302189,,,,,,,,,,,,,,,
1977,,,4,105,93,11,0,201,171,30,0,1925,1600,1830,1425,2350,1780,,,6.26,2,0.322139,,,,,,,,,,,,,,,
1978,,,4,140,124,17,0,288,236,52,0,2050,1780,1905,1780,2725,2225,,,6.15,2,0.346492,,,,,,,,,,,,,,,
1979,,,4,269,239,30,0,593,488,105,0,2205,2225,2040,1960,3070,2670,,,5.67,2,0.381639,,,,,,,,,,,,,,,
1980,,,4,484,432,52,0,1104,901,204,0,2280,2225,2085,2225,3325,3295,,,5.34,2,0.42186,,,,,,,,,,,,,,,
1981,,,4,677,596,79,2,1671,1329,337,4,2465,2225,2230,2225,3885,4450,2625,2640,5.23,1,0.452594,,,,,,,,,,,,,,,
1982,,,4,407,360,43,4,932,743,177,11,2290,2225,2065,2225,3790,4450,2670,2640,5.41,2,0.474364,,,,,,,,,,,,,,,
1983,,,4,417,359,47,11,959,740,189,30,2300,2225,2065,2225,3865,4450,2645,2640,5.34,2,0.491878,,,,,,,,,,,,,,,
1984,,,4,477,414,48,14,1094,858,200,36,2295,2225,2070,2225,3910,4450,2560,2640,5.15,2,0.509814,,,,,,,,,,,,,,,
