fy,full_sample,sel_index,typen,new_borrowers,new_undergrad_bor,new_grad_bor,new_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,cpi_adj,age,mn_fam_inc,dependent,female,first_gen,median_hh_inc,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc
2014,,,5,13,12,0,1,97,87,0,10,7620,6500,7360,6335,,,11025,8905,0,0,1,23,34440,0.57,0.5,0.47,53835.6,0.2,0.13,0.05,19420,10045,28235,19600,,0
1970,,,6,77,70,7,0,95,84,11,0,1240,890,1210,890,1455,1335,,,5.55,1,0.209694,,,,,,,,,,,,,,,
1971,,,6,50,45,5,0,69,61,8,0,1380,1335,1355,1290,1500,1335,,,6.03,1,0.217343,,,,,,,,,,,,,,,
1972,,,6,51,45,6,0,76,66,10,0,1490,1335,1480,1335,1495,1335,,,6.09,1,0.224633,,,,,,,,,,,,,,,
1973,,,6,53,46,8,0,89,74,15,0,1670,1335,1620,1335,1865,1335,,,5.61,1,0.24199,,,,,,,,,,,,,,,
1974,,,6,53,45,7,0,96,79,17,0,1815,1335,1745,1335,2080,1780,,,6.42,2,0.269745,,,,,,,,,,,,,,,
1975,,,6,59,51,8,0,116,96,19,0,1950,1335,1875,1335,2140,1780,,,6.47,2,0.287627,,,,,,,,,,,,,,,
1976,,,6,76,64,12,0,144,115,29,0,1905,1490,1810,1335,2125,1780,,,6.23,2,0.302189,,,,,,,,,,,,,,,
1977,,,6,105,90,15,0,230,182,48,0,2190,1780,2020,1780,2790,2225,,,6.07,2,0.322139,,,,,,,,,,,,,,,
1978,,,6,134,112,22,0,319,239,80,0,2390,2225,2140,1780,3145,2225,,,5.98,2,0.346492,,,,,,,,,,,,,,,
1979,,,6,249,211,38,0,633,483,150,0,2550,2225,2290,2225,3530,3560,,,5.69,2,0.381639,,,,,,,,,,,,,,,
1980,,,6,390,329,62,0,1018,742,276,0,2610,2225,2260,2225,3780,4450,,,5.42,2,0.42186,,,,,,,,,,,,,,,
1981,,,6,466,384,76,6,1263,900,344,19,2710,2225,2345,2225,4185,4450,3120,2640,5.22,2,0.452594,,,,,,,,,,,,,,,
1982,,,6,306,249,47,10,785,550,208,27,2570,2225,2210,2225,4215,4450,2825,2640,5.55,2,0.474364,,,,,,,,,,,,,,,
1983,,,6,314,250,46,17,816,560,206,49,2600,2225,2235,2225,4335,4450,2845,2640,5.42,2,0.491878,,,,,,,,,,,,,,,
1984,,,6,350,285,48,17,899,631,221,47,2565,2225,2215,2225,4465,4450,2740,2640,5.25,2,0.509814,,,,,,,,,,,,,,,
1985,,,6,358,294,45,20,934,664,216,54,2605,2225,2260,2225,4675,4450,2705,2640,5.1,2,0.528431,,,,,,,,,,,,,,,
1986,,,6,308,253,39,16,778,553,184,41,2525,2225,2185,2225,4575,4450,2590,2640,4.88,2,0.536539,,,,,,,,,,,,,,,
1987,,,6,296,243,37,17,838,568,220,50,2830,2335,2340,2225,5770,5755,2945,2640,4.93,2,0.556903,,,,,,,,,,,,,,,
1988,,,6,318,252,39,27,988,635,264,89,3105,2335,2515,2335,6535,6675,3300,3520,4.82,2,0.580705,,,,,,,,,,,,,,,
1989,,,6,337,260,41,36,1094,669,305,120,3250,2335,2570,2335,7275,6675,3320,3520,4.72,2,0.60299,,,,,,,,,,,,,,,
1990,,,6,352,266,44,43,1280,758,373,148,3640,2625,2855,2625,8295,7500,3435,3520,4.7,3,0.631967,,,,,,,,,,,,,,,
1991,,,6,389,289,49,51,1474,867,431,177,3795,2625,2995,2625,8585,7500,3455,3520,4.59,3,0.648323,,,,,,,,,,,,,,,
1992,,,6,421,309,50,62,1629,957,456,215,3865,2625,3095,2625,8905,7500,3450,3520,4.49,3,0.665147,,,,,,,,,,,,,,,
1993,,,6,443,337,53,53,2053,1164,625,264,4635,2625,3450,2625,11560,10570,4990,4000,4.49,3,0.679709,,,,,,,,,,,,,,,
1994,,,6,500,376,64,61,2798,1439,905,453,5590,3315,3830,2625,13565,13445,7460,5400,4.43,3,0.694281,,,,,,,,,,,,,,,
1995,,,6,468,345,61,62,2707,1359,863,484,5785,3500,3945,2625,13665,14000,7775,6000,4.28,3,0.707602,,55220,0.65,0.58,0.33,57301.5,0.13,0.13,0.04,45255,22415,61140,48565,27140,55450
1996,,,6,493,371,60,62,2849,1473,886,490,5780,3500,3970,2625,14370,15000,7870,6000,4.34,3,0.724261,,57930,0.68,0.59,0.32,57726,0.12,0.11,0.04,47945,22855,62600,51215,28210,38935
1997,,,6,500,373,59,69,3027,1518,920,588,6050,3500,4075,2625,15330,16000,8530,6650,4.23,3,0.732323,,59615,0.69,0.59,0.32,60115.4,0.14,0.11,0.04,49445,23805,63395,52450,29495,50365
1998,,,6,500,378,57,65,3005,1536,890,579,6015,3500,4065,2625,15210,15685,8910,7195,4.22,3,0.738253,,61525,0.7,0.59,0.32,63935.5,0.12,0.09,0.04,51105,25165,65125,54945,28735,43480
1999,,,6,502,384,53,65,2962,1527,853,581,5900,3150,3975,2625,15635,16675,8945,7000,4.19,3,0.753413,20,64905,0.72,0.59,0.32,65388.4,0.1,0.08,0.03,54125,25360,67545,58015,27040,46840
2000,,,6,500,380,52,68,3069,1557,876,636,6145,3500,4095,2625,16615,18500,9380,7500,4.05,3,0.77168,20,66390,0.71,0.58,0.33,64745.8,0.11,0.08,0.03,54850,26975,69385,58450,30860,47280
2001,,,6,509,387,56,67,3225,1609,946,670,6335,3500,4160,2625,16625,18500,10010,8000,3.93,3,0.779909,20,69500,0.71,0.58,0.33,64922,0.11,0.08,0.03,55955,28130,69920,59945,31855,48565
2002,,,6,536,402,64,70,3614,1732,1117,766,6745,3580,4310,2625,17210,18500,10880,8950,3.74,3,0.796383,20,70575,0.7,0.59,0.33,65417.7,0.11,0.08,0.03,56615,28820,71135,61570,33105,45485
2003,,,6,568,418,71,80,4066,1865,1280,921,7160,4375,4460,2625,17760,18500,11575,10000,3.53,3,0.811654,20,68960,0.69,0.59,0.31,65377.1,0.12,0.08,0.03,53880,27370,69125,58540,32070,47660
2004,,,6,592,438,70,84,4327,1986,1272,1070,7315,4785,4530,2625,17845,18500,12720,10000,3.32,3,0.834702,20,69920,0.71,0.59,0.31,65587.8,0.11,0.08,0.03,54900,26275,70795,60030,30970,43660
2005,,,6,585,435,69,81,4334,1957,1284,1094,7410,4500,4500,2625,18260,18500,13480,10900,3.14,3,0.858669,20,70770,0.71,0.59,0.31,65563.3,0.11,0.08,0.03,55975,25470,71300,60970,30505,45545
2006,,,6,577,443,65,70,4328,1979,1367,982,7495,4070,4470,2625,20650,18500,14035,11875,3.01,3,0.876992,20,72055,0.74,0.6,0.3,65410.9,0.11,0.09,0.03,57335,25210,71825,61985,34350,36410
2007,,,6,557,431,68,59,4556,2119,1608,829,8175,4320,4915,3500,23125,20500,14160,11910,2.83,3,0.906824,19,73400,0.74,0.59,0.3,65829,0.11,0.08,0.03,57790,25650,72005,62775,34775,31290
2008,,,6,556,429,70,57,5106,2582,1683,841,9190,5500,6015,5500,23715,20500,14715,12560,2.63,3,0.910217,20,75500,0.75,0.59,0.29,66153.2,0.11,0.08,0.03,57475,25730,72615,63265,34050,34695
2009,,,6,641,487,83,72,6705,3409,2197,1098,10455,6110,7000,5500,25965,20500,15310,12750,2.35,2,0.929017,20,77620,0.73,0.58,0.29,66572.6,0.11,0.08,0.03,57425,25460,73315,62940,34015,33910
2010,,,6,635,476,76,83,6435,3189,2049,1197,10130,5500,6695,5500,26530,20500,14395,11750,2.08,2,0.941916,20,74615,0.73,0.59,0.3,66882,0.11,0.08,0.03,54520,21625,70280,59845,30805,27490
2011,,,6,658,497,74,87,6708,3392,1955,1361,10200,5500,6820,5500,26060,20500,15645,12745,1.76,2,0.965479,20,71735,0.74,0.59,0.3,66696.3,0.11,0.08,0.03,52310,21925,67765,56695,32780,24440
2012,,,6,578,459,64,55,5907,3189,1818,900,10220,5500,6940,5500,27910,20500,16375,13640,1.3,2,0.980216,20,72490,0.75,0.58,0.3,66382.7,0.11,0.08,0.03,52410,20915,67340,55940,34195,27820
2013,,,6,540,437,55,49,5489,3007,1647,835,10165,5500,6885,5500,29520,20500,17070,14000,0.68,1,0.992323,19,72455,0.77,0.58,0.29,66410.8,0.11,0.08,0.03,52120,20795,65895,55815,33635,25525
2014,,,6,558,453,55,51,5721,3107,1725,889,10245,5500,6865,5500,30595,20500,17540,15000,0,0,1,19,74620,0.78,0.59,0.27,66339,0.11,0.09,0.03,52730,19340,67350,56450,32395,19760
