fy,full_sample,sel_index,typen,active_borrowers,active_undergrad_bor,active_grad_bor,active_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1973,,,1,12,11,1,0,15,14,1,0,1250,1335,1245,1335,1260,1335,,,5.09,0,,,,,,,,,,,,,,,0.24199
1974,,,1,14,13,1,0,19,18,1,0,1375,1335,1360,1335,1485,1335,,,5.79,0,,,,,,,,,,,,,,,0.269745
1975,,,1,17,17,0,0,25,24,1,0,1475,1335,1460,1335,1735,1780,,,5.53,0,,,,,,,,,,,,,,,0.287627
1976,,,1,21,20,1,0,32,30,1,0,1515,1335,1495,1335,1745,1690,,,5.16,0,,,,,,,,,,,,,,,0.302189
1977,,,1,28,27,1,0,46,44,2,0,1675,1335,1635,1335,2620,2225,,,5.23,0,,,,,,,,,,,,,,,0.322139
1978,,,1,39,38,1,0,69,65,4,0,1770,1670,1730,1600,2615,2225,,,5.33,0,,,,,,,,,,,,,,,0.346492
1979,,,1,56,54,2,0,109,104,5,0,1950,1915,1915,1910,2680,2225,,,5.04,0,,,,,,,,,,,,,,,0.381639
1980,,,1,96,93,2,0,188,180,8,0,1965,2225,1925,2225,2915,2225,,,4.79,0,,,,,,,,,,,,,,,0.42186
1981,,,1,160,155,4,0,338,324,14,1,2120,2225,2085,2225,2855,2225,2750,2640,4.64,0,,,,,,,,,,,,,,,0.452594
1982,,,1,199,194,4,1,417,403,12,2,2090,2225,2070,2225,2815,2225,2220,2435,4.63,0,,,,,,,,,,,,,,,0.474364
1983,,,1,287,281,3,3,608,591,10,6,2115,2225,2100,2225,2910,2225,2235,2640,4.41,0,,,,,,,,,,,,,,,0.491878
1984,,,1,372,362,3,6,801,778,9,14,2155,2225,2150,2225,2730,2225,2320,2640,4.5,0,,,,,,,,,,,,,,,0.509814
1985,,,1,508,496,4,8,1106,1077,11,18,2180,2225,2170,2225,2550,2225,2345,2640,4.13,0,,,,,,,,,,,,,,,0.528431
1986,,,1,633,618,4,11,1372,1336,9,26,2170,2225,2160,2225,2285,2225,2390,2640,3.87,0,,,,,,,,,,,,,,,0.536539
1987,,,1,773,755,3,15,1883,1833,10,41,2435,2335,2425,2335,2895,2335,2645,2640,3.6,0,,,,,,,,,,,,,,,0.556903
1988,,,1,902,873,3,26,2590,2508,12,69,2870,2335,2870,2335,3160,2335,2670,2845,3.49,0,,,,,,,,,,,,,,,0.580705
1989,,,1,851,814,2,35,2593,2489,11,94,3045,2335,3055,2335,3485,2335,2655,2730,3.37,0,,,,,,,,,,,,,,,0.60299
1990,,,1,652,616,2,35,1937,1831,10,96,2970,2625,2975,2625,3995,2625,2730,2985,3.61,0,,,,,,,,,,,,,,,0.631967
1991,,,1,516,484,2,31,1518,1423,8,87,2940,2625,2940,2625,3535,2625,2840,3155,3.85,0,,,,,,,,,,,,,,,0.648323
1992,,,1,410,381,1,28,1235,1150,6,79,3015,2625,3015,2625,4585,2935,2855,3335,3.99,0,,,,,,,,,,,,,,,0.665147
1993,,,1,309,285,1,24,984,891,4,90,3180,2625,3120,2625,4450,2625,3790,4000,4.11,1,,,,,,,,,,,,,,,0.679709
1994,,,1,289,265,1,23,1045,934,5,106,3620,2625,3525,2625,6665,4760,4530,4000,4.19,1,,,,,,,,,,,,,,,0.694281
1995,,,1,269,245,0,24,1021,909,3,109,3790,3125,3715,2920,8190,4800,4465,4000,4.22,1,24930,0.28,0.69,0.57,55700.1,0.18,0.12,0.04,16760,12605,33130,16750,0,22690,0.707602
1996,,,1,276,251,1,24,1096,976,9,112,3965,3315,3880,3285,12040,8500,4590,4000,4.19,1,26840,0.32,0.68,0.57,55552.8,0.18,0.12,0.04,17395,12680,33410,17390,9280,24405,0.724261
1997,,,1,271,245,0,25,1119,988,5,126,4130,3500,4025,3375,11320,10250,4960,4120,4.17,1,27615,0.34,0.66,0.56,56278.2,0.18,0.12,0.04,18540,13675,33320,18490,12150,38270,0.732323
1998,,,1,279,250,0,29,1178,1025,5,148,4220,3500,4100,3500,11620,6625,5130,4380,4.26,1,28815,0.37,0.66,0.55,55121.6,0.17,0.12,0.04,20020,14590,32115,19945,29225,34395,0.738253
1999,,,1,293,260,0,33,1278,1088,2,188,4365,3790,4185,3540,7550,6675,5715,4715,4.12,1,29405,0.38,0.65,0.56,55777.1,0.17,0.12,0.04,20560,14950,34125,20455,39230,32280,0.753413
2000,,,1,313,275,0,38,1405,1182,2,221,4490,3895,4305,3700,7535,6625,5770,4780,4.04,1,30725,0.39,0.63,0.57,56178.4,0.16,0.11,0.04,21095,15530,35120,21020,22880,28100,0.77168
2001,,,1,338,298,0,40,1563,1312,2,249,4630,4130,4410,3975,4685,5520,6225,5205,3.95,1,31725,0.41,0.61,0.58,56039.6,0.16,0.12,0.04,21980,15250,36240,21930,14135,29735,0.779909
2002,,,1,382,337,0,45,1809,1506,2,302,4740,4300,4470,4065,4065,3500,6775,5980,3.86,1,33850,0.42,0.63,0.58,56460.5,0.17,0.11,0.04,22345,14965,38565,22300,20685,32450,0.796383
2003,,,1,439,386,0,53,2173,1792,1,380,4945,4440,4640,4415,4295,4795,7115,6095,3.78,1,33110,0.43,0.65,0.58,55962.4,0.17,0.12,0.04,21700,14375,37490,21635,12625,31230,0.811654
2004,,,1,512,450,0,63,2654,2141,2,511,5180,4725,4760,4440,13290,12565,8065,6750,3.64,1,32670,0.44,0.66,0.57,55932.9,0.17,0.12,0.04,21320,13935,35995,21220,50660,34205,0.834702
2005,,,1,537,470,0,67,2831,2254,2,575,5270,4925,4795,4485,6310,5605,8550,7150,3.57,1,33065,0.46,0.66,0.56,56075.6,0.18,0.12,0.04,21295,13490,36350,21150,23925,29625,0.858669
2006,,,1,536,471,0,65,2885,2302,2,581,5380,5090,4885,4660,5915,5000,8950,7660,3.42,1,32655,0.47,0.68,0.56,55572.5,0.18,0.12,0.04,20715,12400,35825,20600,16745,32285,0.876992
2007,,,1,543,484,0,60,3042,2504,2,536,5600,5300,5175,5000,14390,8500,8965,7655,3.42,1,32255,0.48,0.68,0.56,55458.4,0.18,0.12,0.04,20700,12050,35010,20600,62085,30490,0.906824
2008,,,1,576,526,0,51,3662,3228,1,433,6360,6250,6140,6135,5845,4375,8525,7185,3.27,1,31240,0.47,0.69,0.56,55383,0.18,0.12,0.04,19495,11440,33495,19455,27360,27100,0.910217
2009,,,1,725,671,0,55,5257,4795,2,460,7250,7235,7150,7270,6440,7495,8380,6795,3.13,1,29875,0.45,0.68,0.57,54930.1,0.19,0.12,0.04,18155,10715,31860,18065,33000,25980,0.929017
2010,,,1,816,750,0,67,5802,5283,3,516,7115,6730,7045,6810,8500,7115,7755,6000,3.21,1,29925,0.46,0.67,0.57,55158.7,0.18,0.12,0.04,18440,10805,31100,18365,20345,24995,0.941916
2011,,,1,812,739,0,75,5757,5181,3,574,7090,6500,7010,6500,6695,6550,7650,5935,3.22,1,29650,0.47,0.68,0.56,55534.8,0.18,0.12,0.04,18370,10595,30810,18370,26725,19995,0.965479
2012,,,1,695,648,0,48,4961,4558,3,400,7140,6710,7040,6720,10530,7445,8320,6590,3.17,1,29255,0.49,0.69,0.56,55320.4,0.18,0.12,0.04,17860,10035,30100,17815,43290,24075,0.980216
2013,,,1,608,572,0,37,4392,4071,3,318,7225,7000,7120,7000,14490,13665,8675,6980,3.13,1,29520,0.52,0.69,0.55,55498.2,0.18,0.12,0.04,18135,9595,29490,18085,19475,21540,0.992323
2014,,,1,565,531,0,35,4161,3823,1,337,7360,7000,7200,7000,19035,18875,9685,7380,2.93,1,29320,0.53,0.7,0.54,55164.7,0.18,0.12,0.04,18205,9320,29325,18185,29615,19280,1
1970,,,2,2,2,0,0,2,2,0,0,1145,890,1150,890,890,890,,,2.82,0,,,,,,,,,,,,,,,0.209694
1971,,,2,3,3,0,0,3,3,0,0,1270,1335,1265,1335,665,630,,,2.97,1,,,,,,,,,,,,,,,0.217343
1972,,,2,2,2,0,0,3,3,0,0,1310,1335,1310,1335,,,,,3.66,1,,,,,,,,,,,,,,,0.224633
1973,,,2,2,2,0,0,3,3,0,0,1370,1335,1365,1335,1040,1335,,,4.05,1,,,,,,,,,,,,,,,0.24199
1974,,,2,3,3,0,0,4,4,0,0,1425,1335,1425,1335,,,,,5.61,1,,,,,,,,,,,,,,,0.269745
1975,,,2,4,3,0,0,6,6,0,0,1685,1335,1680,1335,1945,2115,,,5.39,1,,,,,,,,,,,,,,,0.287627
1976,,,2,4,4,0,0,7,6,0,0,1595,1335,1570,1335,2315,2225,,,4.91,1,,,,,,,,,,,,,,,0.302189
1977,,,2,6,6,0,0,12,11,1,0,2000,1780,1940,1780,2880,2225,,,6.15,1,,,,,,,,,,,,,,,0.322139
1978,,,2,11,11,0,0,22,21,1,0,2035,2225,2005,2225,2975,2225,,,5.61,1,,,,,,,,,,,,,,,0.346492
1979,,,2,19,18,0,0,40,39,1,0,2155,2225,2135,2225,2160,2090,,,6.16,1,,,,,,,,,,,,,,,0.381639
1980,,,2,35,33,1,0,75,71,4,0,2185,2225,2145,2225,2670,2225,,,5.77,1,,,,,,,,,,,,,,,0.42186
1981,,,2,52,50,2,0,123,114,9,0,2365,2225,2275,2225,4160,4450,2640,2640,5.57,1,,,,,,,,,,,,,,,0.452594
1982,,,2,57,55,2,0,131,124,7,0,2295,2225,2235,2225,4015,4450,2160,2640,5.04,1,,,,,,,,,,,,,,,0.474364
1983,,,2,85,81,2,2,205,192,10,3,2405,2225,2360,2225,4215,4450,2215,2640,5.08,1,,,,,,,,,,,,,,,0.491878
1984,,,2,106,99,4,3,261,232,21,8,2460,2225,2345,2225,4965,4450,2500,2640,5.15,1,,,,,,,,,,,,,,,0.509814
1985,,,2,120,112,5,4,295,262,23,11,2455,2225,2350,2225,4780,4450,2465,2640,5.18,1,,,,,,,,,,,,,,,0.528431
1986,,,2,124,114,4,6,301,266,19,16,2420,2225,2330,2225,4565,4450,2495,2640,5.09,1,,,,,,,,,,,,,,,0.536539
1987,,,2,134,121,3,10,370,322,20,28,2765,2335,2660,2335,5520,4660,2855,2640,4.98,1,,,,,,,,,,,,,,,0.556903
1988,,,2,153,135,4,15,491,417,29,46,3210,2335,3090,2335,6790,6675,3130,3520,4.88,1,,,,,,,,,,,,,,,0.580705
1989,,,2,155,134,4,18,517,434,28,55,3340,2335,3250,2335,7050,6675,3090,3520,4.62,1,,,,,,,,,,,,,,,0.60299
1990,,,2,166,143,3,20,577,488,27,62,3490,2625,3410,2625,7610,7500,3140,3520,4.69,2,,,,,,,,,,,,,,,0.631967
1991,,,2,174,148,4,23,675,569,33,73,3885,2625,3855,2625,7555,7500,3235,3520,4.55,2,,,,,,,,,,,,,,,0.648323
1992,,,2,188,158,5,26,741,609,46,86,3935,3165,3865,2625,8275,7500,3320,3520,4.54,2,,,,,,,,,,,,,,,0.665147
1993,,,2,187,155,7,25,832,650,86,97,4450,3500,4180,3125,10950,11500,3945,4000,4.72,2,,,,,,,,,,,,,,,0.679709
1994,,,2,199,166,10,23,1053,803,147,103,5285,4000,4830,3865,13920,12415,4520,4000,4.94,2,,,,,,,,,,,,,,,0.694281
1995,,,2,199,165,12,23,1082,807,165,110,5445,4250,4905,4060,13655,12000,4845,4000,5.02,2,34930,0.36,0.54,0.51,60034,0.1,0.09,0.04,25605,18885,42645,25445,34620,25290,0.707602
1996,,,2,219,179,14,26,1213,872,205,136,5540,4390,4865,4025,14115,13765,5330,4265,5.12,2,35850,0.39,0.52,0.5,61579.8,0.11,0.09,0.04,26310,20165,42670,26205,29800,42195,0.724261
1997,,,2,247,202,17,28,1440,1035,250,154,5830,4810,5115,4415,14625,15300,5510,4590,5.32,2,38000,0.4,0.49,0.47,62454,0.11,0.09,0.04,27520,21310,42660,27280,33365,40200,0.732323
1998,,,2,274,223,19,33,1594,1138,267,190,5820,4825,5110,4415,13845,14490,5825,4800,5.34,2,38545,0.41,0.48,0.48,62270.5,0.1,0.09,0.04,28380,22090,42590,28325,31010,33165,0.738253
1999,,,2,309,248,24,38,1936,1331,361,244,6260,5290,5380,4830,14930,16000,6375,5505,5.35,3,40380,0.41,0.47,0.48,60084.8,0.13,0.09,0.04,29420,22450,43590,29175,34050,30405,0.753413
2000,,,2,346,277,26,43,2311,1577,430,304,6685,5810,5685,5250,15850,18310,7140,6000,5.51,3,42375,0.43,0.46,0.48,61008.8,0.13,0.09,0.04,30550,24325,43420,30405,33305,37690,0.77168
2001,,,2,401,320,33,49,2792,1866,538,388,6960,6125,5830,5460,16175,18500,7885,6505,5.59,3,44155,0.44,0.47,0.48,60738.7,0.13,0.09,0.04,31860,24880,45060,31315,37205,38180,0.779909
2002,,,2,474,378,46,51,3504,2298,767,438,7395,6500,6080,5500,16070,18500,8665,7140,5.86,3,45400,0.44,0.5,0.48,60848.7,0.14,0.09,0.04,32965,26525,45110,32135,43745,43025,0.796383
2003,,,2,571,447,70,54,4432,2784,1127,521,7770,6625,6220,5955,15755,18500,9635,8000,6.27,4,44115,0.43,0.53,0.49,60342.9,0.14,0.09,0.04,32010,25975,43330,31125,41930,37550,0.811654
2004,,,2,708,554,96,60,5717,3506,1565,646,8070,6625,6335,6125,15885,18500,10725,9000,6.38,4,44480,0.42,0.56,0.48,60105.6,0.15,0.09,0.04,32345,26530,43720,31145,43280,40180,0.834702
2005,,,2,818,639,120,60,6731,4064,1964,703,8230,6625,6365,6475,15890,18500,11635,9515,6.51,4,43580,0.42,0.6,0.48,59402.6,0.15,0.1,0.04,31310,25580,42300,30005,41330,43415,0.858669
2006,,,2,907,718,136,55,7735,4689,2358,688,8525,6625,6535,6625,16830,18500,12405,10210,6.63,4,42245,0.41,0.62,0.48,58836.6,0.15,0.1,0.04,30045,24225,41510,28915,39020,39155,0.876992
2007,,,2,1025,815,159,53,8977,5438,2888,651,8755,7500,6670,6625,17720,18500,12240,10000,6.73,4,40980,0.42,0.63,0.48,58295.3,0.16,0.1,0.04,28795,22965,40385,27380,40035,30685,0.906824
2008,,,2,1236,998,187,53,12228,7911,3643,674,9895,8250,7925,7500,18945,20500,12790,10200,6.77,4,39815,0.41,0.64,0.49,57790.3,0.16,0.1,0.04,27340,21565,38565,25955,38090,33465,0.910217
2009,,,2,1578,1299,219,63,17144,11777,4531,836,10860,9500,9065,9500,19915,20245,13240,10660,6.67,4,37725,0.4,0.64,0.5,57107.3,0.17,0.1,0.04,25225,19590,36820,23895,36760,32845,0.929017
2010,,,2,1772,1448,253,76,17764,12049,4775,940,10020,9500,8320,8725,18295,16610,12360,9340,6.76,4,36195,0.39,0.65,0.51,56635,0.18,0.1,0.04,23880,18225,35285,22455,36420,28650,0.941916
2011,,,2,1776,1430,265,88,18687,12226,5293,1168,10525,9500,8550,8300,19210,16920,13255,9595,6.87,4,35590,0.4,0.66,0.51,56439.4,0.18,0.11,0.04,23290,17780,34410,21875,35720,25610,0.965479
2012,,,2,1600,1292,257,56,16401,10700,4941,760,10250,9335,8280,7835,18625,15920,13690,10300,6.86,4,34715,0.41,0.67,0.5,56272.9,0.18,0.11,0.04,22605,16735,33430,21120,33840,28350,0.980216
2013,,,2,1463,1177,249,41,15174,9771,4810,593,10375,9420,8305,7875,18670,15920,14640,11155,6.71,4,34310,0.43,0.68,0.5,55958.1,0.19,0.11,0.04,22115,15925,32650,20505,32715,36265,0.992323
2014,,,2,1363,1084,245,37,14463,9040,4911,511,10610,9500,8345,8005,19460,16585,13650,10550,6.49,3,34205,0.45,0.69,0.5,55759.5,0.19,0.11,0.04,22165,15495,32040,20595,31885,29790,1
1970,,,3,6,6,0,0,6,5,0,0,940,890,925,890,1555,1600,,,4.77,1,,,,,,,,,,,,,,,0.209694
1971,,,3,9,8,0,0,9,8,0,0,1025,890,1015,890,1200,1200,,,4.41,1,,,,,,,,,,,,,,,0.217343
1972,,,3,10,10,0,0,13,12,0,0,1220,950,1220,965,1090,890,,,4.87,1,,,,,,,,,,,,,,,0.224633
1973,,,3,11,10,0,0,12,12,0,0,1120,890,1110,890,1535,1290,,,4.74,0,,,,,,,,,,,,,,,0.24199
1974,,,3,11,10,0,0,14,13,1,0,1260,1235,1255,1235,1350,1255,,,4.62,1,,,,,,,,,,,,,,,0.269745
1975,,,3,14,13,0,0,18,17,1,0,1285,1155,1265,1155,1510,1335,,,5.81,1,,,,,,,,,,,,,,,0.287627
1976,,,3,16,15,1,0,20,19,1,0,1255,1275,1245,1245,1625,1560,,,5.95,1,,,,,,,,,,,,,,,0.302189
1977,,,3,22,21,1,0,30,29,1,0,1400,1335,1395,1335,1335,1335,,,7.04,2,,,,,,,,,,,,,,,0.322139
1978,,,3,31,30,1,0,45,43,2,0,1445,1335,1420,1335,1855,1780,,,6.08,1,,,,,,,,,,,,,,,0.346492
1979,,,3,53,52,1,0,88,85,3,0,1650,1335,1620,1335,1970,1780,,,6.08,1,,,,,,,,,,,,,,,0.381639
1980,,,3,109,107,2,0,190,185,6,0,1745,1670,1725,1645,1985,1780,,,5.66,1,,,,,,,,,,,,,,,0.42186
1981,,,3,196,194,2,0,385,378,7,0,1965,2225,1950,2225,2370,2225,1790,1495,5.5,1,,,,,,,,,,,,,,,0.452594
1982,,,3,193,191,2,0,379,372,5,1,1960,2225,1950,2225,2435,2225,1855,1980,5.3,1,,,,,,,,,,,,,,,0.474364
1983,,,3,224,221,2,1,440,433,6,2,1965,2225,1960,2225,2465,2225,2335,2640,5.47,1,,,,,,,,,,,,,,,0.491878
1984,,,3,244,241,2,2,482,473,5,4,1975,2225,1965,2225,2545,2225,2380,2200,5.3,1,,,,,,,,,,,,,,,0.509814
1985,,,3,272,268,3,2,538,527,7,4,1975,2225,1970,2225,2235,2225,2070,2200,5.28,1,,,,,,,,,,,,,,,0.528431
1986,,,3,258,255,2,2,508,500,4,4,1970,2225,1965,2225,2320,2225,2185,2200,5.43,1,,,,,,,,,,,,,,,0.536539
1987,,,3,214,211,0,3,409,402,1,6,1910,2225,1905,2225,2730,2225,2265,2250,5.47,2,,,,,,,,,,,,,,,0.556903
1988,,,3,211,206,0,5,433,419,2,12,2050,2205,2035,2205,4270,3985,2500,2310,5.63,2,,,,,,,,,,,,,,,0.580705
1989,,,3,213,207,1,6,451,435,2,14,2115,2225,2100,2225,2995,2335,2550,2640,5.7,2,,,,,,,,,,,,,,,0.60299
1990,,,3,210,203,1,7,475,454,2,19,2255,2400,2230,2390,3490,2625,2675,2510,5.73,2,,,,,,,,,,,,,,,0.631967
1991,,,3,236,227,0,8,580,556,2,22,2460,2555,2445,2530,3310,2205,2785,2800,5.93,2,,,,,,,,,,,,,,,0.648323
1992,,,3,261,251,1,10,634,604,2,28,2430,2540,2410,2515,3165,2325,2765,2700,6.05,3,,,,,,,,,,,,,,,0.665147
1993,,,3,285,277,0,7,724,703,2,20,2545,2625,2535,2625,2590,2625,2885,2640,6.01,3,,,,,,,,,,,,,,,0.679709
1994,,,3,327,322,0,5,917,900,2,15,2805,2625,2800,2625,3910,2625,3195,2965,6.29,3,,,,,,,,,,,,,,,0.694281
1995,,,3,338,333,0,5,1019,1000,2,17,3015,2625,3005,2625,3505,2625,3490,3000,6.4,4,30625,0.39,0.6,0.53,55994.7,0.13,0.09,0.04,22505,13570,45790,22495,11430,28050,0.707602
1996,,,3,361,355,0,6,1102,1080,1,21,3055,2625,3040,2625,2850,2565,3800,3420,6.46,4,31495,0.42,0.61,0.51,54072.9,0.11,0.1,0.04,23340,14230,45065,23355,9220,30930,0.724261
1997,,,3,390,385,0,5,1234,1213,1,20,3160,2625,3150,2625,3510,2625,3910,3500,6.63,4,33020,0.45,0.63,0.49,55307.9,0.12,0.09,0.04,24055,14340,46125,24055,22430,29785,0.732323
1998,,,3,398,392,0,5,1255,1232,1,22,3155,2625,3140,2625,4530,2625,4025,3695,6.54,4,35300,0.48,0.63,0.49,55051.5,0.11,0.09,0.04,26555,15540,48635,26555,2715,46460,0.738253
1999,,,3,376,370,0,6,1192,1164,3,26,3170,2625,3145,2625,5915,2965,4320,3965,6.54,5,37510,0.51,0.62,0.49,54476.9,0.1,0.09,0.04,27960,16185,49805,27960,25350,57305,0.753413
2000,,,3,382,376,0,6,1247,1217,2,28,3265,2625,3235,2625,4590,3315,4610,4000,6.56,5,39325,0.53,0.62,0.49,54034.8,0.1,0.09,0.04,30120,16985,50735,30135,19315,43750,0.77168
2001,,,3,396,389,0,6,1312,1282,2,28,3315,2625,3295,2625,4270,2625,4325,4000,6.61,5,40675,0.53,0.62,0.5,53944.5,0.1,0.09,0.04,31060,17960,51635,31060,25730,37630,0.779909
2002,,,3,481,475,0,6,1680,1645,2,33,3490,2625,3465,2625,4195,3665,5170,4000,6.52,5,41695,0.53,0.62,0.5,54601.3,0.1,0.09,0.04,32155,18405,53890,32160,26645,39785,0.796383
2003,,,3,582,572,1,9,2153,2105,3,45,3700,2625,3680,2625,4905,4415,5015,4000,6.44,5,41445,0.52,0.63,0.5,54950.4,0.1,0.09,0.04,31395,18175,52265,31390,27300,54245,0.811654
2004,,,3,664,653,0,11,2542,2481,1,60,3830,2665,3805,2650,4185,2625,5390,4445,6.28,5,41060,0.52,0.64,0.5,54743.5,0.11,0.09,0.04,30955,18350,51640,30945,5925,39700,0.834702
2005,,,3,720,707,0,14,2846,2766,2,78,3950,3065,3915,3000,3350,2975,5720,5000,6.02,5,41840,0.53,0.64,0.5,54886.4,0.11,0.09,0.04,31515,18150,52250,31465,50495,42785,0.858669
2006,,,3,750,737,0,14,3026,2947,2,76,4030,3310,4000,3280,4195,3100,5550,4125,5.94,5,42245,0.55,0.65,0.49,55175.1,0.11,0.09,0.04,31755,17745,51710,31735,30170,41640,0.876992
2007,,,3,776,764,0,13,3464,3382,3,79,4465,3500,4430,3500,6010,4410,6260,4500,5.86,5,42410,0.56,0.65,0.48,55226.1,0.11,0.09,0.04,31790,17785,51225,31765,27015,47790,0.906824
2008,,,3,834,823,0,11,4246,4180,1,65,5090,4115,5075,4090,3350,1750,6015,5000,5.59,4,42680,0.56,0.65,0.48,55427.9,0.12,0.09,0.04,31370,16615,51250,31355,28410,40720,0.910217
2009,,,3,1067,1056,0,11,6133,6055,2,77,5750,4750,5730,4750,4635,4750,7115,5000,5.32,4,42855,0.55,0.63,0.49,55756.3,0.12,0.09,0.04,30780,16135,51420,30770,73435,44675,0.929017
2010,,,3,1214,1203,1,11,7068,6984,7,77,5825,4875,5805,4855,5150,4500,6770,5000,5.07,3,40265,0.52,0.61,0.49,55567.8,0.13,0.09,0.04,27910,15020,49445,27905,28730,38550,0.941916
2011,,,3,1429,1414,2,16,8479,8356,12,111,5935,5000,5910,5000,5800,5000,7080,5150,4.89,3,39295,0.53,0.62,0.5,55715.4,0.13,0.09,0.04,26495,14225,47255,26490,26615,34135,0.965479
2012,,,3,1429,1418,1,11,8362,8261,7,95,5850,4940,5825,4905,5205,4285,8625,6175,4.55,2,38135,0.53,0.62,0.49,55691.3,0.14,0.1,0.04,25665,13360,45725,25655,34355,30585,0.980216
2013,,,3,1359,1351,0,9,7720,7639,4,77,5680,4750,5655,4750,4715,3950,8435,6000,4.22,2,38415,0.55,0.62,0.48,55903.1,0.15,0.1,0.04,25830,13130,44685,25825,22820,28585,0.992323
2014,,,3,1185,1177,0,9,6971,6890,1,80,5885,5250,5855,5230,3830,3500,8795,6975,3.92,1,39360,0.56,0.62,0.47,55985.7,0.15,0.1,0.04,26600,13140,45625,26610,32545,23985,1
1970,,,4,106,101,5,0,127,118,9,0,1195,890,1170,890,1420,1335,,,5.25,1,,,,,,,,,,,,,,,0.209694
1971,,,4,121,114,7,0,153,142,11,0,1260,1070,1240,1050,1420,1335,,,5.59,1,,,,,,,,,,,,,,,0.217343
1972,,,4,115,107,7,0,149,137,11,0,1295,1295,1280,1245,1380,1335,,,6.16,2,,,,,,,,,,,,,,,0.224633
1973,,,4,104,96,8,0,142,128,14,0,1360,1335,1330,1310,1525,1335,,,6.67,2,,,,,,,,,,,,,,,0.24199
1974,,,4,111,101,10,0,172,153,19,0,1545,1335,1505,1335,1740,1335,,,6.81,3,,,,,,,,,,,,,,,0.269745
1975,,,4,119,106,13,0,188,163,26,0,1580,1335,1530,1335,1765,1780,,,6.9,3,,,,,,,,,,,,,,,0.287627
1976,,,4,132,116,16,0,215,183,32,0,1630,1335,1575,1335,1775,1780,,,6.85,3,,,,,,,,,,,,,,,0.302189
1977,,,4,177,155,22,0,322,265,57,0,1820,1515,1715,1335,2240,1780,,,6.9,3,,,,,,,,,,,,,,,0.322139
1978,,,4,230,199,31,0,454,359,95,0,1970,1780,1805,1635,2650,2225,,,6.82,3,,,,,,,,,,,,,,,0.346492
1979,,,4,392,341,51,0,839,665,174,0,2140,1960,1950,1780,2975,2415,,,6.26,2,,,,,,,,,,,,,,,0.381639
1980,,,4,702,615,88,0,1576,1242,334,0,2245,2225,2020,2225,3285,3340,,,5.84,2,,,,,,,,,,,,,,,0.42186
1981,,,4,1121,966,154,2,2751,2105,642,4,2455,2225,2180,2225,3880,4450,2625,2640,5.77,2,,,,,,,,,,,,,,,0.452594
1982,,,4,885,752,128,5,2038,1511,514,13,2305,2225,2010,2225,3825,4450,2765,2640,6.08,3,,,,,,,,,,,,,,,0.474364
1983,,,4,933,783,138,12,2206,1603,569,34,2365,2225,2050,2225,3950,4450,2700,2640,6.24,3,,,,,,,,,,,,,,,0.491878
1984,,,4,1035,862,155,18,2482,1779,655,48,2395,2225,2065,2225,4030,4450,2630,2640,6.2,3,,,,,,,,,,,,,,,0.509814
1985,,,4,1108,921,162,25,2686,1918,700,69,2425,2225,2085,2225,4150,4450,2755,2640,6.1,3,,,,,,,,,,,,,,,0.528431
1986,,,4,1017,843,149,25,2419,1720,633,67,2380,2225,2040,2225,4070,4450,2645,2640,6.15,3,,,,,,,,,,,,,,,0.536539
1987,,,4,959,786,140,32,2463,1649,717,97,2570,2225,2095,2225,4885,4450,2995,2640,6.29,4,,,,,,,,,,,,,,,0.556903
1988,,,4,986,784,148,55,2759,1753,831,175,2800,2335,2235,2225,5375,5270,3200,3520,6.33,4,,,,,,,,,,,,,,,0.580705
1989,,,4,1037,807,155,76,3073,1895,926,252,2965,2335,2350,2240,5755,5905,3320,3520,6.34,4,,,,,,,,,,,,,,,0.60299
1990,,,4,1134,878,164,93,3766,2344,1113,310,3320,2625,2670,2600,6500,6755,3325,3520,6.29,4,,,,,,,,,,,,,,,0.631967
1991,,,4,1292,995,182,116,4542,2838,1314,389,3515,2625,2855,2625,6885,7400,3350,3520,6.22,4,,,,,,,,,,,,,,,0.648323
1992,,,4,1451,1115,201,136,5314,3347,1496,471,3665,2665,3000,2625,7120,7500,3450,3520,6.24,4,,,,,,,,,,,,,,,0.665147
1993,,,4,1638,1315,214,110,6933,4704,1788,441,4235,3500,3575,2850,7995,7500,4015,4000,6.25,4,,,,,,,,,,,,,,,0.679709
1994,,,4,1912,1559,246,108,9553,6566,2438,549,4995,3760,4210,3500,9365,8500,5070,4000,6.31,4,,,,,,,,,,,,,,,0.694281
1995,,,4,2017,1639,261,119,10676,7243,2778,655,5290,4050,4420,3500,10025,8500,5515,4645,6.3,4,47880,0.66,0.55,0.37,59262.8,0.14,0.09,0.04,37625,14850,56030,40080,16060,41685,0.707602
1996,,,4,2248,1819,282,149,12323,8295,3130,898,5480,4375,4560,3500,10540,8500,6040,5000,6.34,4,49875,0.69,0.56,0.36,54683,0.11,0.11,0.04,39875,15495,57200,42230,19110,59765,0.724261
