fy,full_sample,sel_index,typen,active_borrowers,active_undergrad_bor,active_grad_bor,active_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1997,,4,,1293,1188,0,105,6503,5754,87,662,5030,4065,4845,3915,8765,8500,6275,5290,6.33,4,52580,0.75,0.59,0.38,52451.7,0.09,0.1,0.04,45485,17440,58260,45490,24270,46690,0.732323
1998,,4,,1322,1204,0,119,6729,5836,101,792,5090,4195,4845,3955,9255,8500,6680,5500,6.34,4,54640,0.77,0.59,0.38,55686.4,0.13,0.1,0.04,47625,18380,59030,47630,29015,47530,0.738253
1999,,4,,1312,1193,1,120,6659,5739,98,821,5075,4055,4815,3750,9725,8500,6830,5765,6.34,4,56690,0.79,0.6,0.38,59285.8,0.11,0.08,0.03,49445,18610,60155,49435,32145,50005,0.753413
2000,,4,,1350,1223,0,128,7122,6080,92,951,5275,4430,4975,4000,9975,8500,7420,6000,6.26,4,58990,0.8,0.59,0.38,60065.5,0.11,0.08,0.03,51700,19730,61755,51715,40030,50005,0.77168
2001,,4,,1381,1248,1,134,7382,6249,100,1032,5345,4665,5010,4195,10715,8500,7685,6500,6.23,4,60910,0.81,0.59,0.39,59931.6,0.12,0.08,0.03,53170,20345,62865,53195,32535,50405,0.779909
2002,,4,,1474,1330,1,145,8116,6820,108,1188,5505,5000,5125,4510,10585,8500,8215,7000,6.18,5,62530,0.81,0.59,0.39,60012.3,0.12,0.08,0.03,54390,21220,63905,54375,40185,55460,0.796383
2003,,4,,1578,1406,1,173,9085,7413,128,1544,5760,5250,5270,4950,10755,9200,8930,7600,6.11,4,63105,0.81,0.59,0.38,60036.3,0.12,0.08,0.03,54420,21310,64100,54415,40455,52545,0.811654
2004,,4,,1666,1473,1,195,10011,7993,126,1893,6010,5500,5430,5250,11480,10500,9710,8415,5.98,4,63840,0.81,0.6,0.38,60213.3,0.12,0.08,0.03,55020,21125,64610,55050,38915,51285,0.834702
2005,,4,,1736,1526,1,212,10705,8390,136,2179,6170,5500,5500,5250,11810,10000,10295,8845,5.9,4,64455,0.82,0.6,0.38,60519.3,0.12,0.08,0.03,55270,21070,64900,55325,41870,50315,0.858669
2006,,4,,1732,1527,1,206,10756,8386,152,2219,6210,5500,5490,5250,12505,11045,10780,9400,5.77,4,65635,0.82,0.6,0.37,60849.9,0.12,0.08,0.03,56315,20695,65815,56415,45215,49105,0.876992
2007,,4,,1727,1535,1,193,11205,8895,164,2146,6490,5500,5795,5325,13820,11595,11115,9635,5.64,4,66515,0.83,0.6,0.37,61053.7,0.12,0.08,0.03,56810,20740,66210,56960,39450,47495,0.906824
2008,,4,,1772,1588,1,186,13050,10778,172,2100,7365,6250,6790,5500,13785,12500,11315,9905,5.51,4,67410,0.83,0.59,0.36,61421.4,0.12,0.08,0.03,56975,21015,66250,57075,40940,46370,0.910217
2009,,4,,1991,1787,2,207,16289,13641,249,2399,8180,7000,7635,6500,16060,14775,11595,10000,5.38,4,68495,0.83,0.59,0.36,61701.3,0.12,0.08,0.03,57095,20530,66805,57345,42855,41100,0.929017
2010,,4,,2079,1844,2,238,16745,13701,247,2796,8055,6500,7430,6500,14890,13210,11770,10000,5.29,4,67655,0.83,0.59,0.36,61929.7,0.12,0.08,0.03,55680,19670,65930,55970,43105,37860,0.941916
2011,,4,,2274,1999,4,280,19013,15123,304,3587,8360,7000,7565,6500,16610,14445,12810,10780,5.08,3,66615,0.82,0.59,0.36,62141.5,0.12,0.08,0.03,53860,19520,64190,54355,42860,32170,0.965479
2012,,4,,2203,1978,2,228,18283,14919,241,3123,8300,7000,7540,6500,16945,16015,13705,11775,4.76,3,65910,0.83,0.59,0.36,62339.8,0.12,0.08,0.03,53065,18770,62980,53280,44560,37235,0.980216
2013,,4,,2170,1944,2,228,18154,14564,241,3348,8365,7000,7490,6500,17330,16015,14695,12440,4.34,2,65940,0.83,0.59,0.36,62666.1,0.12,0.08,0.03,52700,18655,62330,53000,38580,34170,0.992323
2014,,4,,2156,1921,3,238,18563,14738,251,3574,8610,7500,7670,6500,18635,18735,15000,13000,3.81,2,65815,0.83,0.59,0.35,62707.4,0.12,0.08,0.03,52315,18400,62095,52765,40935,31820,1
1970,,5,,59,59,0,0,69,68,1,0,1180,890,1170,890,1210,1335,,,5.56,1,,,,,,,,,,,,,,,0.209694
1971,,5,,66,66,0,0,83,82,1,0,1260,1115,1250,1090,1245,1335,,,6,2,,,,,,,,,,,,,,,0.217343
1972,,5,,68,68,0,0,91,90,1,0,1335,1335,1325,1335,1080,1335,,,6.53,2,,,,,,,,,,,,,,,0.224633
1973,,5,,68,68,0,0,98,97,1,0,1430,1335,1415,1335,1415,1295,,,6.87,3,,,,,,,,,,,,,,,0.24199
1974,,5,,74,74,0,0,116,114,2,0,1560,1335,1540,1335,1370,1335,,,7.33,3,,,,,,,,,,,,,,,0.269745
1975,,5,,80,80,0,0,131,129,2,0,1630,1335,1600,1335,1520,1335,,,7.33,3,,,,,,,,,,,,,,,0.287627
1976,,5,,92,92,0,0,153,149,4,0,1665,1335,1625,1335,1635,1780,,,7.1,3,,,,,,,,,,,,,,,0.302189
1977,,5,,126,126,0,0,230,225,5,0,1830,1710,1785,1600,1735,1780,,,6.92,3,,,,,,,,,,,,,,,0.322139
1978,,5,,165,165,0,0,323,314,10,0,1965,1780,1905,1780,2225,1870,,,6.82,3,,,,,,,,,,,,,,,0.346492
1979,,5,,292,292,0,0,623,607,16,0,2130,2225,2075,2225,2380,2225,,,6.28,3,,,,,,,,,,,,,,,0.381639
1980,,5,,506,506,0,0,1114,1077,37,0,2200,2225,2125,2225,2760,2225,,,5.86,3,,,,,,,,,,,,,,,0.42186
1981,,5,,765,760,0,6,1787,1735,34,17,2335,2225,2285,2225,3400,4450,3065,2640,5.78,3,,,,,,,,,,,,,,,0.452594
1982,,5,,589,580,0,9,1266,1222,16,28,2150,2225,2110,2225,3270,3095,2935,2640,6.11,3,,,,,,,,,,,,,,,0.474364
1983,,5,,584,565,0,19,1291,1218,17,56,2210,2225,2155,2225,3780,4450,2940,2640,6.2,3,,,,,,,,,,,,,,,0.491878
1984,,5,,649,624,0,24,1449,1362,17,70,2235,2225,2180,2225,3705,4450,2900,2640,6.12,3,,,,,,,,,,,,,,,0.509814
1985,,5,,688,656,0,32,1550,1438,18,94,2255,2225,2190,2225,3930,4450,2935,2640,5.92,3,,,,,,,,,,,,,,,0.528431
1986,,5,,614,585,0,28,1352,1259,14,80,2205,2225,2150,2225,3840,4450,2805,2640,5.91,3,,,,,,,,,,,,,,,0.536539
1987,,5,,590,562,0,29,1410,1297,22,91,2390,2225,2310,2225,4890,4450,3170,2640,5.98,4,,,,,,,,,,,,,,,0.556903
1988,,5,,581,539,0,42,1509,1334,25,150,2600,2335,2480,2335,5280,5280,3545,3520,5.99,4,,,,,,,,,,,,,,,0.580705
1989,,5,,600,542,0,58,1624,1397,21,206,2705,2335,2575,2335,5310,5240,3535,3520,5.89,4,,,,,,,,,,,,,,,0.60299
1990,,5,,655,583,0,72,1994,1705,33,256,3045,2625,2920,2625,6310,6600,3565,3520,5.83,4,,,,,,,,,,,,,,,0.631967
1991,,5,,727,639,0,88,2343,1987,38,318,3220,2625,3105,2625,6365,6890,3600,3520,5.74,4,,,,,,,,,,,,,,,0.648323
1992,,5,,803,697,0,107,2694,2255,47,391,3355,2625,3235,2625,6900,7500,3660,3520,5.71,4,,,,,,,,,,,,,,,0.665147
1993,,5,,881,785,0,97,3569,3037,52,480,4050,3500,3870,3500,9045,7500,4965,4000,5.73,4,,,,,,,,,,,,,,,0.679709
1994,,5,,1038,927,0,111,5070,4169,109,793,4885,3800,4495,3500,9915,8500,7140,5000,5.77,4,,,,,,,,,,,,,,,0.694281
1995,,5,,1083,960,0,123,5532,4453,129,951,5110,4000,4640,3565,10210,8500,7715,6000,5.74,4,63885,0.82,0.54,0.29,63610.1,0.13,0.09,0.03,55700,15405,65580,55715,28085,55480,0.707602
1996,,5,,1184,1041,0,143,6198,4905,121,1171,5235,4375,4710,3760,11255,10080,8185,6500,5.8,4,65635,0.85,0.54,0.28,65752.8,0.11,0.08,0.03,58095,16755,66425,58085,32890,61695,0.724261
1997,,5,,1253,1095,0,159,6781,5262,126,1393,5410,4665,4805,4000,11510,10565,8760,7000,5.8,4,66725,0.86,0.55,0.28,64484.2,0.12,0.08,0.03,59265,17525,66945,59215,34380,64210,0.732323
1998,,5,,1278,1112,1,166,6942,5302,130,1510,5435,4665,4765,3980,12415,11645,9110,7210,5.84,4,68920,0.88,0.55,0.27,66939.1,0.11,0.08,0.03,61800,17875,68365,61815,38475,58575,0.738253
1999,,5,,1262,1100,1,162,6763,5132,99,1532,5360,4415,4665,3660,12205,11695,9435,7550,5.85,4,70755,0.89,0.55,0.28,67222.8,0.09,0.07,0.03,63400,18120,69385,63385,52465,64915,0.753413
2000,,5,,1323,1145,1,179,7381,5521,116,1744,5580,4895,4825,4000,12395,10680,9765,8000,5.82,4,73210,0.89,0.55,0.28,67391.4,0.09,0.07,0.03,65625,18535,71275,65605,47345,66720,0.77168
2001,,5,,1340,1158,1,182,7606,5582,130,1895,5680,5000,4820,4000,13355,13610,10395,8370,5.79,4,76700,0.9,0.56,0.28,67835.5,0.09,0.07,0.03,67795,19290,73430,67820,43860,65050,0.779909
2002,,5,,1376,1176,1,200,8056,5734,121,2202,5855,5250,4875,4375,13415,13910,10995,9000,5.74,4,79260,0.9,0.55,0.28,68053.7,0.09,0.07,0.03,70015,20130,75735,70095,47840,57995,0.796383
2003,,5,,1438,1217,1,222,8864,6093,140,2631,6165,5500,5005,4810,13685,12485,11855,10000,5.7,4,80935,0.9,0.55,0.27,68016.7,0.09,0.07,0.03,71015,20095,76930,71100,51265,59355,0.811654
2004,,5,,1497,1245,1,252,9723,6286,136,3301,6495,5500,5050,5100,14460,14545,13080,10250,5.61,4,81640,0.9,0.55,0.27,68298.5,0.09,0.07,0.03,71200,20505,77090,71295,60635,60810,0.834702
2005,,5,,1529,1266,1,264,10222,6409,127,3687,6685,5500,5060,5105,14405,15380,13955,11420,5.55,4,82225,0.9,0.55,0.27,68505,0.09,0.07,0.03,71595,21085,77565,71760,54200,59520,0.858669
